"2022-07-27 00:05:58am "," update "," UPDATE menu_details SET `menu_name` = 'category', `menu_link` = '#', `menu_icon` = 'list', `menu_position` = '2', `submenu_id` = '3,4', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:35:58', `menu_status` = 1 WHERE 1=1  and menu_id = '2' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/2"
"2022-07-27 00:07:32am "," update "," UPDATE menu_details SET `menu_name` = 'Group', `menu_link` = '#', `menu_icon` = 'slack', `menu_position` = '3', `submenu_id` = '5,6', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:37:32', `menu_status` = 1 WHERE 1=1  and menu_id = '3' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/3"
"2022-07-27 00:10:09am "," update "," UPDATE menu_details SET `menu_name` = 'Unit', `menu_link` = '#', `menu_icon` = 'thermometer', `menu_position` = '4', `submenu_id` = '7,8', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:40:09', `menu_status` = 1 WHERE 1=1  and menu_id = '4' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/4"
"2022-07-27 00:12:04am "," update "," UPDATE menu_details SET `menu_name` = 'Group Unit', `menu_link` = '#', `menu_icon` = 'shield', `menu_position` = '5', `submenu_id` = '9,10', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:42:04', `menu_status` = 1 WHERE 1=1  and menu_id = '5' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/5"
"2022-07-27 00:13:07am "," update "," UPDATE menu_details SET `menu_name` = 'Product', `menu_link` = '#', `menu_icon` = 'package', `menu_position` = '6', `submenu_id` = '11,12', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:43:07', `menu_status` = 1 WHERE 1=1  and menu_id = '6' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/6"
"2022-07-27 00:13:54am "," update "," UPDATE menu_details SET `menu_name` = 'Order', `menu_link` = '#', `menu_icon` = 'shopping-cart', `menu_position` = '7', `submenu_id` = '13', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:43:54', `menu_status` = 1 WHERE 1=1  and menu_id = '7' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/7"
"2022-07-27 00:16:49am "," update "," UPDATE menu_details SET `menu_name` = 'Blog', `menu_link` = '#', `menu_icon` = 'file-text', `menu_position` = '8', `submenu_id` = '14,15', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:46:49', `menu_status` = 1 WHERE 1=1  and menu_id = '8' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/8"
"2022-07-27 00:18:25am "," update "," UPDATE menu_details SET `menu_name` = 'Testimonial', `menu_link` = '#', `menu_icon` = 'book-open', `menu_position` = '9', `submenu_id` = '16,17', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:48:25', `menu_status` = 1 WHERE 1=1  and menu_id = '9' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/9"
"2022-07-27 00:18:47am "," update "," UPDATE menu_details SET `menu_name` = 'Blog', `menu_link` = '#', `menu_icon` = 'bookmark', `menu_position` = '8', `submenu_id` = '14,15', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:48:47', `menu_status` = 1 WHERE 1=1  and menu_id = '8' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/8"
"2022-07-27 00:19:12am "," update "," UPDATE menu_details SET `menu_name` = 'Vendor', `menu_link` = 'vendor', `menu_icon` = 'users', `menu_position` = '10', `submenu_id` = '21,22', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:49:12', `menu_status` = 1 WHERE 1=1  and menu_id = '11' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/11"
"2022-07-27 00:19:36am "," update "," UPDATE menu_details SET `menu_name` = 'Setting', `menu_link` = '#', `menu_icon` = 'settings', `menu_position` = '11', `submenu_id` = '18,19,20,23', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 20:49:36', `menu_status` = 1 WHERE 1=1  and menu_id = '10' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/10"
"2022-07-27 00:31:20am "," update "," UPDATE menu_details SET `menu_name` = 'Blog', `menu_link` = '#', `menu_icon` = 'rss', `menu_position` = '8', `submenu_id` = '14,15', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 21:01:20', `menu_status` = 1 WHERE 1=1  and menu_id = '8' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/8"
