"2022-07-26 22:03:43pm "," update "," UPDATE role SET `role_name` = 'Admin', `role_description` = 'test', `updated_by` = '1', `update_at` = '2022-07-26 18:33:43', `is_active` = 1 WHERE 1=1  and role_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-role "," R: http://localhost/Admin/edit-role/1"
"2022-07-26 22:04:52pm "," update "," UPDATE role SET `role_name` = 'Developer', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-07-26 18:34:52', `is_active` = 1 WHERE 1=1  and role_id = '2' "," ::1 "," URL: http://localhost/Admin/submit-role "," R: http://localhost/Admin/edit-role/2"
"2022-07-26 22:08:46pm "," update "," UPDATE menu_details SET `menu_name` = 'Setting', `menu_link` = '#', `menu_icon` = '<i class=""feather-home""></i>', `menu_position` = '11', `submenu_id` = NULL, `menu_update_by` = '1', `menu_update_date` = '2022-07-26 18:38:45', `menu_status` = 1 WHERE 1=1  and menu_id = '10' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/10"
"2022-07-26 22:09:30pm "," update "," UPDATE menu_details SET `menu_name` = 'Vendor', `menu_link` = 'vendor', `menu_icon` = '<i class=""feather-home""></i>', `menu_position` = '10', `submenu_id` = NULL, `menu_update_by` = '1', `menu_update_date` = '2022-07-26 18:39:30', `menu_status` = 1 WHERE 1=1  and menu_id = '11' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/11"
"2022-07-26 22:10:54pm "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Menu', 'menu', '1', '1', '2022-07-26 18:40:54') "," ::1 "," URL: http://localhost/Admin/submit-submenu "," R: http://localhost/Admin/add-submenu"
"2022-07-26 22:11:24pm "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Submenu', 'submenu', '2', '1', '2022-07-26 18:41:24') "," ::1 "," URL: http://localhost/Admin/submit-submenu "," R: http://localhost/Admin/add-submenu"
"2022-07-26 22:11:34pm "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Role', 'role', '3', '1', '2022-07-26 18:41:34') "," ::1 "," URL: http://localhost/Admin/submit-submenu "," R: http://localhost/Admin/add-submenu"
"2022-07-26 22:11:56pm "," update "," UPDATE menu_details SET `menu_name` = 'Setting', `menu_link` = '#', `menu_icon` = '<i class=""feather-home""></i>', `menu_position` = '11', `submenu_id` = '18,19,20', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 18:41:56', `menu_status` = 1 WHERE 1=1  and menu_id = '10' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/10"
"2022-07-26 22:12:15pm "," update "," UPDATE role SET `role_name` = 'Developer', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-07-26 18:42:15', `is_active` = 1 WHERE 1=1  and role_id = '2' "," ::1 "," URL: http://localhost/Admin/submit-role "," R: http://localhost/Admin/edit-role/2"
"2022-07-26 22:35:27pm "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Vendor', 'vendor', '2', '1', '2022-07-26 19:05:27') "," ::1 "," URL: http://localhost/Admin/submit-submenu "," R: http://localhost/Admin/add-submenu"
"2022-07-26 22:35:40pm "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Add Vendor', 'add-vendor', '1', '1', '2022-07-26 19:05:40') "," ::1 "," URL: http://localhost/Admin/submit-submenu "," R: http://localhost/Admin/add-submenu"
"2022-07-26 22:35:52pm "," update "," UPDATE menu_details SET `menu_name` = 'Vendor', `menu_link` = 'vendor', `menu_icon` = '<i class=""feather-home""></i>', `menu_position` = '10', `submenu_id` = '21,22', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 19:05:52', `menu_status` = 1 WHERE 1=1  and menu_id = '11' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/11"
"2022-07-26 22:36:05pm "," update "," UPDATE role SET `role_name` = 'Developer', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-07-26 19:06:05', `is_active` = 1 WHERE 1=1  and role_id = '2' "," ::1 "," URL: http://localhost/Admin/submit-role "," R: http://localhost/Admin/edit-role/2"
"2022-07-26 22:59:43pm "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('User', 'user', '4', '1', '2022-07-26 19:29:43') "," ::1 "," URL: http://localhost/Admin/submit-submenu "," R: http://localhost/Admin/add-submenu"
"2022-07-26 22:59:56pm "," update "," UPDATE menu_details SET `menu_name` = 'Setting', `menu_link` = '#', `menu_icon` = '<i class=""feather-home""></i>', `menu_position` = '11', `submenu_id` = '18,19,20,23', `menu_update_by` = '1', `menu_update_date` = '2022-07-26 19:29:56', `menu_status` = 1 WHERE 1=1  and menu_id = '10' "," ::1 "," URL: http://localhost/Admin/submit-menu "," R: http://localhost/Admin/edit-menu/10"
