"2022-07-29 22:05:07pm "," update "," UPDATE slider SET `slider_image` = 'slider-1.jpg', `slider_title` = 'Lorem ipsum dolor sit amet,', `position` = '1', `is_active` = 1 WHERE 1=1  and slider_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-slider "," R: http://localhost/MultiVendor/edit-slider/1"
"2022-07-29 22:05:20pm "," insert "," INSERT INTO slider(`slider_title`, `is_active`, `position`) VALUES('Lorem ipsum dolor sit amet,', 1, '2') "," ::1 "," URL: http://localhost/MultiVendor/submit-slider "," R: http://localhost/MultiVendor/add-slider"
"2022-07-29 22:05:20pm "," update "," UPDATE slider SET `slider_image` = 'slider-2.jpg' WHERE 1=1  and slider_id  = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-slider "," R: http://localhost/MultiVendor/add-slider"
"2022-07-29 22:10:43pm "," update "," UPDATE slider SET `is_active` = '0' WHERE 1=1  and slider_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Slider/updateStatus "," R: http://localhost/MultiVendor/slider"
"2022-07-29 22:10:45pm "," update "," UPDATE slider SET `is_active` = '1' WHERE 1=1  and slider_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Slider/updateStatus "," R: http://localhost/MultiVendor/slider"
"2022-07-29 22:10:55pm "," update "," UPDATE slider SET `slider_image` = 'slider-2.jpg', `slider_title` = 'Lorem ipsum dolor sit amet,', `position` = '2', `is_active` = 1 WHERE 1=1  and slider_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-slider "," R: http://localhost/MultiVendor/edit-slider/2"
"2022-07-29 22:22:27pm "," update "," UPDATE role SET `role_name` = 'vendor', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-07-29 18:52:27', `is_active` = 1 WHERE 1=1  and role_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/3"
"2022-07-29 22:23:58pm "," update "," UPDATE user SET `last_login` = '2022-07-29 18:53:58' WHERE 1=1  and user_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-07-29 22:29:12pm "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Brand -6', 'brand-6', '155-credit-card.svg', '3', '2022-07-29 18:59:12') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-07-29 22:42:25pm "," update "," UPDATE brand SET `brand_name` = 'Brand -6', `short_code` = 'brand-6', `brand_logo` = 'tur.png', `modified_by` = '3', `modified` = '2022-07-29 19:12:25', `is_active` = 1 WHERE 1=1  and brand_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/edit-brand/7"
"2022-07-29 22:52:37pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-7', 'category-7', 'Category-7', 'icmoneybhaskar1_1585399179.png', '3', '2022-07-29 19:22:37') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
