"2022-08-02 02:34:32am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/9"
"2022-08-02 02:34:32am "," update "," UPDATE category SET `category_name` = 'Category-9', `short_code` = 'category-9', `parent_category_id` = '', `hierarchy` = '9', `brand_id` = '', `description` = 'Category-9', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-01 23:04:32', `is_active` = 1 WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/9"
"2022-08-02 02:34:32am "," update "," UPDATE category SET `child_category` = '9' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/9"
"2022-08-02 02:34:49am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/10"
"2022-08-02 02:34:49am "," update "," UPDATE category SET `category_name` = 'Category-10', `short_code` = 'category-10', `parent_category_id` = '9', `hierarchy` = '9,10', `brand_id` = '', `description` = 'Main 1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-01 23:04:49', `is_active` = 1 WHERE 1=1  and category_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/10"
"2022-08-02 02:34:49am "," update "," UPDATE category SET `child_category` = '10,11,15,10' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/10"
"2022-08-02 02:36:15am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -5', 'category-5', '', '1,5,7', 'Category -5', '', '1', '2022-08-01 23:06:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:36:15am "," update "," UPDATE category SET `hierarchy` = '5' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:36:15am "," update "," UPDATE category SET `child_category` = '5' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:36:34am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -5', 'category-5', '', '1,5,7', 'Category -5', '', '1', '2022-08-01 23:06:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:36:34am "," update "," UPDATE category SET `hierarchy` = '6' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:36:34am "," update "," UPDATE category SET `child_category` = '6' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:41:51am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -5', 'category-5', '', '1,5,7', 'Category -5', '', '1', '2022-08-01 23:11:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:41:51am "," update "," UPDATE category SET `hierarchy` = '7' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:41:51am "," update "," UPDATE category SET `child_category` = '7' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:43:16am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -1', 'category-1', '', '1,2', 'Category -1', '', '1', '2022-08-01 23:13:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:43:16am "," update "," UPDATE category SET `hierarchy` = '1' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:43:16am "," update "," UPDATE category SET `child_category` = '1' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
