"2022-08-02 03:00:02am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -3', 'category-3', '', '', 'Category -3', '', '1', '2022-08-01 23:30:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:00:02am "," update "," UPDATE category SET `hierarchy` = '1' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:00:41am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -1', 'category-1', '', '', 'Category -1', '', '1', '2022-08-01 23:30:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:00:41am "," update "," UPDATE category SET `hierarchy` = '2' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:02:50am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -1', 'category-1', '', '', 'Category -1', '', '1', '2022-08-01 23:32:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:02:50am "," update "," UPDATE category SET `hierarchy` = '1' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:02:50am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:12am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-2', 'category-2', '', '', 'Category-2', '', '1', '2022-08-01 23:34:12') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:12am "," update "," UPDATE category SET `hierarchy` = '2' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:12am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:31am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -3', 'category-3', '', '', 'Category -3', '', '1', '2022-08-01 23:34:31') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:31am "," update "," UPDATE category SET `hierarchy` = '3' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:31am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:54am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-4', 'category-4', '', '', 'Category-4', '', '1', '2022-08-01 23:34:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:54am "," update "," UPDATE category SET `hierarchy` = '4' WHERE 1=1  and category_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:04:54am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:05:51am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.1', 'category-1.1', '1', '', 'Category-1.1', '', '1', '2022-08-01 23:35:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:05:51am "," update "," UPDATE category SET `hierarchy` = '1,5' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:05:51am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:07:28am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-02 03:07:28am "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `brand_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-01 23:37:28', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-02 03:07:28am "," update "," UPDATE category SET `child_category` = '5' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-02 03:07:59am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.2', 'category-1.2', '1', '', 'Category-1.2', '', '1', '2022-08-01 23:37:59') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:07:59am "," update "," UPDATE category SET `hierarchy` = '1,6' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:07:59am "," update "," UPDATE category SET `child_category` = '5,6' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:09:31am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.3', 'category-1.3', '1', '', '', '', '1', '2022-08-01 23:39:31') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:09:31am "," update "," UPDATE category SET `hierarchy` = '1,7' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:09:31am "," update "," UPDATE category SET `child_category` = '5,6,7' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:10:15am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-2.1', 'category-2.1', '2', '', 'Category-2.1', '', '1', '2022-08-01 23:40:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:10:15am "," update "," UPDATE category SET `hierarchy` = '2,8' WHERE 1=1  and category_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:10:15am "," update "," UPDATE category SET `child_category` = '8' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:17am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-2.2', 'category-2.2', '2', '', 'Category-2.2', '', '1', '2022-08-01 23:41:17') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:17am "," update "," UPDATE category SET `hierarchy` = '2,9' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:17am "," update "," UPDATE category SET `child_category` = '8,9' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:40am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-2.3', 'category-2.3', '2', '', 'Category-2.2', '', '1', '2022-08-01 23:41:40') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:41am "," update "," UPDATE category SET `hierarchy` = '2,10' WHERE 1=1  and category_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:41am "," update "," UPDATE category SET `child_category` = '8,9,10' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:11:53am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/10"
"2022-08-02 03:11:53am "," update "," UPDATE category SET `category_name` = 'Category-2.3', `short_code` = 'category-2.3', `parent_category_id` = '2', `hierarchy` = '2,10', `brand_id` = '', `description` = 'Category-2.3', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-01 23:41:53', `is_active` = 1 WHERE 1=1  and category_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/10"
"2022-08-02 03:11:53am "," update "," UPDATE category SET `child_category` = '8,9,10,10' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/10"
"2022-08-02 03:12:20am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-3.1', 'category-3.1', '3', '', 'Category-3.1', '', '1', '2022-08-01 23:42:20') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:20am "," update "," UPDATE category SET `hierarchy` = '3,11' WHERE 1=1  and category_id = '11' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:20am "," update "," UPDATE category SET `child_category` = '11' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:32am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-3.2', 'category-3.2', '3', '', 'Category-3.2', '', '1', '2022-08-01 23:42:32') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:32am "," update "," UPDATE category SET `hierarchy` = '3,12' WHERE 1=1  and category_id = '12' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:32am "," update "," UPDATE category SET `child_category` = '11,12' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:45am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-3.3', 'category-3.3', '3', '', 'Category-3.3', '', '1', '2022-08-01 23:42:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:45am "," update "," UPDATE category SET `hierarchy` = '3,13' WHERE 1=1  and category_id = '13' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:12:45am "," update "," UPDATE category SET `child_category` = '11,12,13' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:02am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-4.1', 'category-4.1', '4', '', 'Category-4.1', '', '1', '2022-08-01 23:43:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:02am "," update "," UPDATE category SET `hierarchy` = '4,14' WHERE 1=1  and category_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:02am "," update "," UPDATE category SET `child_category` = '14' WHERE 1=1  and category_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:19am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-4.2', 'category-4.2', '4', '', 'Category-4.2', '', '1', '2022-08-01 23:43:19') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:19am "," update "," UPDATE category SET `hierarchy` = '4,15' WHERE 1=1  and category_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:19am "," update "," UPDATE category SET `child_category` = '14,15' WHERE 1=1  and category_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:30am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-4.3', 'category-4.3', '4', '', 'Category-4.3', '', '1', '2022-08-01 23:43:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 03:13:30am "," update "," UPDATE category SET `hierarchy` = '4,16' WHERE 1=1  and category_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
