"2022-08-01 23:04:32pm "," update "," UPDATE category SET `category_name` = 'Category -1', `short_code` = 'category-1', `parent_category_id` = '', `brand_id` = '', `description` = 'Category -1', `category_image` = 'magazine1_1603974341.png', `modified_by` = '1', `modified` = '2022-08-01 19:34:32', `is_active` = 1 WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/1"
"2022-08-01 23:34:40pm "," update "," UPDATE category SET `category_name` = 'Category -1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `brand_id` = '', `description` = 'Category -1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-01 20:04:40', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-01 23:53:33pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Main', 'main', '', '', 'Main', '', '1', '2022-08-01 20:23:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:53:33pm "," update "," UPDATE category SET `hierarchy` = '9' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:53:33pm "," update "," UPDATE category SET `child_category` = '9' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:54:11pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Main 1', 'main-1', '9', '', 'Main 1', '', '1', '2022-08-01 20:24:11') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:54:11pm "," update "," UPDATE category SET `hierarchy` = '9,10' WHERE 1=1  and category_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:54:11pm "," update "," UPDATE category SET `child_category` = '10' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:54:40pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Main 2', 'main-2', '9', '', 'Main 2', '', '1', '2022-08-01 20:24:40') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:54:40pm "," update "," UPDATE category SET `hierarchy` = '9,11' WHERE 1=1  and category_id = '11' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:54:40pm "," update "," UPDATE category SET `child_category` = '10,11' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:58:33pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Main 3', 'main-3', '9', '', 'Main 3', '', '1', '2022-08-01 20:28:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:58:33pm "," update "," UPDATE category SET `hierarchy` = '9,12' WHERE 1=1  and category_id = '12' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-01 23:58:33pm "," update "," UPDATE category SET `child_category` = '10,11,12' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
