"2022-08-03 00:03:09am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('S', '1', '2022-08-02 20:33:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:04:51am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('M', '1', '2022-08-02 20:34:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:04:57am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('L', '1', '2022-08-02 20:34:57') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:05:02am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('XL', '1', '2022-08-02 20:35:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:05:08am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('XXL', '1', '2022-08-02 20:35:08') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:05:42am "," update "," UPDATE attributes SET `attributes_name` = 'XXL1', `modified_by` = '1', `modified` = '2022-08-02 20:35:42', `is_active` = 1 WHERE 1=1  and attributes_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/edit-attributes/5"
"2022-08-03 00:05:46am "," update "," UPDATE attributes SET `attributes_name` = 'XXL', `modified_by` = '1', `modified` = '2022-08-02 20:35:46', `is_active` = 1 WHERE 1=1  and attributes_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/edit-attributes/5"
"2022-08-03 00:12:42am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('RED', '1', '2022-08-02 20:42:42') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:12:50am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('YELLOW', '1', '2022-08-02 20:42:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:12:55am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('PINK', '1', '2022-08-02 20:42:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:13:01am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('BLUE', '1', '2022-08-02 20:43:01') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:13:10am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('BLACK', '1', '2022-08-02 20:43:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:13:16am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('WHITE', '1', '2022-08-02 20:43:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:13:29am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('OARNAGE', '1', '2022-08-02 20:43:29') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:13:48am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('BROWN', '1', '2022-08-02 20:43:48') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:16:05am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('COTTON', '1', '2022-08-02 20:46:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:16:24am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('POLYESTER', '1', '2022-08-02 20:46:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:16:35am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('SILK', '1', '2022-08-02 20:46:35') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:16:46am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('BAMBOO', '1', '2022-08-02 20:46:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:16:55am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('HEMP', '1', '2022-08-02 20:46:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:17:02am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('WOOL', '1', '2022-08-02 20:47:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:17:10am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('LINEN', '1', '2022-08-02 20:47:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:17:50am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('KHADI', '1', '2022-08-02 20:47:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:18:02am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('DENIM', '1', '2022-08-02 20:48:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:18:19am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('SATIN', '1', '2022-08-02 20:48:19') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:18:43am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('ORGANZA', '1', '2022-08-02 20:48:43') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:18:57am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('CREPE', '1', '2022-08-02 20:48:57') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:19:19am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('GEORGETTE', '1', '2022-08-02 20:49:19') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:19:31am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('CANVAS', '1', '2022-08-02 20:49:31') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:20:25am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('CHIFFON', '1', '2022-08-02 20:50:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:21:06am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('JERSEY', '1', '2022-08-02 20:51:06') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:21:45am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('POLY-COTTON BLEND', '1', '2022-08-02 20:51:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:22:12am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('LYCRA', '1', '2022-08-02 20:52:12') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:23:25am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('TWILL', '1', '2022-08-02 20:53:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:26:22am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('HALF SLEEVE', '1', '2022-08-02 20:56:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
