"2022-08-03 02:09:11am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Color', 'Color', '6,7,8,9,10,11,12,13', '1', '2022-08-02 22:39:11') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:10:53am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Fabric', 'Marerial', '14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32', '1', '2022-08-02 22:40:52') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:27:26am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('T-shirt-neck-pattern', 'Type', '33,34,35,36,37,38,39,40,41,42,43,44,45', '1', '2022-08-02 22:57:26') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:28:28am "," update "," UPDATE product_elements SET `element_name` = 'T-shirt Type', `display_name` = 'Type', `attributes` = '33,34,35,36,37,38,39,40,41,42,43,44,45', `modified_by` = '1', `modified` = '2022-08-02 22:58:28', `is_active` = 1 WHERE 1=1  and element_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/edit-elements/4"
"2022-08-03 02:29:49am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('T-shirt Fits', 'Fits', '46,47,48,49,50,51,52', '1', '2022-08-02 22:59:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:31:52am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Wiast Size (jeans)', 'Size', '53,54,55,56,57,58,59,60', '1', '2022-08-02 23:01:52') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:32:33am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Capacity', 'Capacity', '65,66,67', '1', '2022-08-02 23:02:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:32:42am "," update "," UPDATE product_elements SET `element_name` = 'Capacity', `display_name` = 'Capacity', `attributes` = '63,64,65,66,67', `modified_by` = '1', `modified` = '2022-08-02 23:02:42', `is_active` = 1 WHERE 1=1  and element_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/edit-elements/7"
"2022-08-03 02:32:50am "," update "," UPDATE product_elements SET `element_name` = 'Capacity', `display_name` = 'Capacity', `attributes` = '61,62,63,64,65,66,67', `modified_by` = '1', `modified` = '2022-08-02 23:02:50', `is_active` = 1 WHERE 1=1  and element_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/edit-elements/7"
"2022-08-03 02:34:32am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Storage', 'Storage', '62,63,64,65', '1', '2022-08-02 23:04:32') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-08-03 02:34:48am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('1 TB', '1', '2022-08-02 23:04:48') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:34:55am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('1.5 TB', '1', '2022-08-02 23:04:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:35:02am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('2 TB', '1', '2022-08-02 23:05:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:35:10am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('4 TB', '1', '2022-08-02 23:05:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:35:15am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('5 TB', '1', '2022-08-02 23:05:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:35:32am "," update "," UPDATE product_elements SET `modified_by` = '1', `modified` = '2022-08-02 23:05:32', `is_active` = '0' WHERE 1=1  and element_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Element/updateStatus "," R: http://localhost/MultiVendor/elements"
"2022-08-03 02:35:34am "," update "," UPDATE product_elements SET `modified_by` = '1', `modified` = '2022-08-02 23:05:34', `is_active` = '1' WHERE 1=1  and element_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Element/updateStatus "," R: http://localhost/MultiVendor/elements"
"2022-08-03 02:56:49am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('G', '1', '2022-08-02 23:26:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:56:59am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('KG', '1', '2022-08-02 23:26:59') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:57:11am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('ML', '1', '2022-08-02 23:27:11') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:57:15am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('L', '1', '2022-08-02 23:27:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 02:59:17am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Quantity', 'Quantity', '73,74,75,76', '1', '2022-08-02 23:29:17') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
