"2022-08-05 22:03:21pm "," update "," UPDATE product_details SET `product_name` = 'Lorem Ipsum - 2807197673632', `product_code` = '2807197673632', `short_code` = 'lorem-ipsum-2807197673632', `short_description` = 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. ', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras ornare ipsum a erat tincidunt faucibus. Vivamus augue libero, accumsan quis varius id, efficitur et sapien. Maecenas vel nisi nunc.</span></p>', `brand_id` = '4', `category_id` = '1', `mrp_price` = '350', `discount` = '', `net_price` = '350', `tax` = '5', `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-08-05 18:33:21', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:03:21pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 1, '1,2,3,4', '2022-08-05 18:33:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:03:21pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 2, '6,7,8,10', '2022-08-05 18:33:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:03:21pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 3, '14,15,29', '2022-08-05 18:33:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:03:21pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 4, '33,34', '2022-08-05 18:33:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:03:21pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 5, '46,47', '2022-08-05 18:33:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:03:21pm "," update "," UPDATE product_details SET `image` = 'pr-11.jpg|pr-12.jpg|pr-15.jpg|pr-16.jpg|pr-26.jpg|pr-28.jpg' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," update "," UPDATE product_details SET `product_name` = 'Lorem Ipsum - 2807197673632', `product_code` = '2807197673632', `short_code` = 'lorem-ipsum-2807197673632', `short_description` = 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. ', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras ornare ipsum a erat tincidunt faucibus. Vivamus augue libero, accumsan quis varius id, efficitur et sapien. Maecenas vel nisi nunc.</span></p>', `brand_id` = '4', `category_id` = '1', `mrp_price` = '500', `discount` = '10', `net_price` = '450', `tax` = '5', `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-08-05 18:35:02', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 1, '1,2,3,4', '2022-08-05 18:35:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 2, '6,7,8,10', '2022-08-05 18:35:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 3, '14,15,29', '2022-08-05 18:35:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 4, '33,34', '2022-08-05 18:35:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 5, '46,47', '2022-08-05 18:35:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:05:02pm "," update "," UPDATE product_details SET `image` = 'pr-11.jpg|pr-12.jpg|pr-15.jpg|pr-16.jpg|pr-26.jpg|pr-28.jpg' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-05 22:08:16pm "," update "," UPDATE vendor SET `last_login` = '2022-08-05 18:38:16' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-08-05 22:09:21pm "," update "," UPDATE user SET `last_login` = '2022-08-05 18:39:21' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-08-05 22:10:15pm "," update "," UPDATE role SET `role_name` = 'Vendor', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-08-05 18:40:15', `is_active` = 1 WHERE 1=1  and role_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/3"
"2022-08-05 22:10:41pm "," update "," UPDATE menu_details SET `menu_name` = 'Unit', `menu_link` = '#', `menu_icon` = 'thermometer', `menu_position` = '4', `submenu_id` = NULL, `menu_update_by` = '1', `menu_update_date` = '2022-08-05 18:40:41', `menu_status` = 1 WHERE 1=1  and menu_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/4"
"2022-08-05 22:11:11pm "," update "," UPDATE menu_details SET `menu_name` = 'Unit', `menu_link` = '#', `menu_icon` = 'thermometer', `menu_position` = '4', `submenu_id` = NULL, `menu_update_by` = '1', `menu_update_date` = '2022-08-05 18:41:11', `menu_status` = 0 WHERE 1=1  and menu_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/4"
"2022-08-05 22:39:11pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Other', 'other', '', '1,2,3,4,5,6,7,8,9', 'Other', '', '1', '2022-08-05 19:09:11') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 22:39:11pm "," update "," UPDATE category SET `hierarchy` = '24' WHERE 1=1  and category_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 22:39:11pm "," update "," UPDATE category SET `child_category` = '24' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 22:39:50pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Other', 'other', '1', '', 'Other For category 1', '', '1', '2022-08-05 19:09:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 22:39:50pm "," update "," UPDATE category SET `hierarchy` = '1,25' WHERE 1=1  and category_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
