"2022-08-05 23:03:58pm "," update "," UPDATE category SET `modified_by` = '1', `modified` = '2022-08-05 19:33:58', `is_active` = '1' WHERE 1=1  and category_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Category/updateStatus "," R: http://localhost/MultiVendor/category"
"2022-08-05 23:04:00pm "," update "," UPDATE category SET `modified_by` = '1', `modified` = '2022-08-05 19:34:00', `is_active` = '1' WHERE 1=1  and category_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Category/updateStatus "," R: http://localhost/MultiVendor/category"
"2022-08-05 23:04:38pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Other', 'other', '2', '1,2,3,4,5,6,7,8,9', 'other for category 2', '', '1', '2022-08-05 19:34:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:04:38pm "," update "," UPDATE category SET `hierarchy` = '2,26' WHERE 1=1  and category_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:04:38pm "," update "," UPDATE category SET `child_category` = '8,9,10,10,26' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:05:05pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('other', 'other', '3', '', 'other for category 3', '', '1', '2022-08-05 19:35:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:05:05pm "," update "," UPDATE category SET `hierarchy` = '3,27' WHERE 1=1  and category_id = '27' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:05:05pm "," update "," UPDATE category SET `child_category` = '11,12,13,27' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:05:25pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('other', 'other', '5', '', '', '', '1', '2022-08-05 19:35:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:05:25pm "," update "," UPDATE category SET `hierarchy` = '1,5,28' WHERE 1=1  and category_id = '28' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:05:25pm "," update "," UPDATE category SET `child_category` = '17,18,19,28' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-05 23:18:33pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `mrp_price`, `discount`, `net_price`, `tax`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`) VALUES('PLUMERIA CURTAINS - 2807197674691', '2807197673632', 'plumeria-curtains-2807197674691', 'Lorem ipsum dolor sit amet', '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet</span> </p>', '1', '24', '', '1', '350', '10', '315', '0', 1, 0, 0, '', '', '', '1', '2022-08-05 19:48:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-05 23:18:33pm "," update "," UPDATE product_details SET `image` = 'pr-03.jpg|pr-06.jpg|pr-07.jpg' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-05 23:18:33pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('2', 1, '4', '2022-08-05 19:48:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-05 23:18:33pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('2', 2, '9', '2022-08-05 19:48:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-05 23:18:33pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('2', 3, '17', '2022-08-05 19:48:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
