"2022-08-06 05:19:06am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:19:06am "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `element_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 01:49:06', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:19:06am "," update "," UPDATE category SET `child_category` = '5,6,7,23,25,5,5' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:19:34am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:19:34am "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `element_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 01:49:34', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:19:34am "," update "," UPDATE category SET `child_category` = '5,6,7,23,25,5' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:23:05am "," update "," UPDATE category SET `child_category` = '6,7,23,25,5' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:23:05am "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `element_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 01:53:05', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:23:05am "," update "," UPDATE category SET `child_category` = '5,6,7,23,25,5,5' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:24:32am "," update "," UPDATE category SET `child_category` = '6,7,23,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:24:32am "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `element_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 01:54:32', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:24:32am "," update "," UPDATE category SET `child_category` = '5,6,7,23,25,5' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:25:25am "," update "," UPDATE category SET `child_category` = '6,7,23,25,5' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 05:25:25am "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `element_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 01:55:25', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
