"2022-08-06 21:35:37pm "," update "," UPDATE user SET `last_login` = '2022-08-06 18:05:37' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-08-06 21:37:09pm "," update "," UPDATE category SET `child_category` = '6,7,23,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 21:37:09pm "," update "," UPDATE category SET `category_name` = 'Category-1.1', `short_code` = 'category-1.1', `parent_category_id` = '1', `hierarchy` = '1,5', `element_id` = '', `description` = 'Category-1.1', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:07:09', `is_active` = 1 WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/5"
"2022-08-06 21:38:20pm "," update "," UPDATE category SET `child_category` = '6,7,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:38:20pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:08:20', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:40:45pm "," update "," UPDATE category SET `child_category` = '6,7,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:40:45pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:10:45', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:40:45pm "," update "," UPDATE category SET `child_category` = '6,7,25,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:41:01pm "," update "," UPDATE category SET `child_category` = '6,7,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:41:01pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:11:01', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:41:01pm "," update "," UPDATE category SET `child_category` = '6,7,25,23,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:44:42pm "," update "," UPDATE category SET `child_category` = '6,7,25,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:44:42pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:14:42', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:44:42pm "," update "," UPDATE category SET `child_category` = '6,7,25,23,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:45:03pm "," update "," UPDATE category SET `child_category` = '6,7,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:45:03pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:15:03', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:45:03pm "," update "," UPDATE category SET `child_category` = '6,7,25,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:45:24pm "," update "," UPDATE category SET `child_category` = '8,9,10,10,26' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:45:24pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '2', `hierarchy` = '2,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:15:24', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:45:24pm "," update "," UPDATE category SET `child_category` = '8,9,10,10,26,23' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:53:39pm "," update "," UPDATE category SET `child_category` = '8,9,10,26' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:53:39pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:23:39', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:53:39pm "," update "," UPDATE category SET `child_category` = '6,7,25,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:53:55pm "," update "," UPDATE category SET `child_category` = '6,7,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:53:55pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '1', `hierarchy` = '1,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:23:55', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:53:55pm "," update "," UPDATE category SET `child_category` = '6,7,25,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:54:17pm "," update "," UPDATE category SET `child_category` = '6,7,25' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:54:17pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '3', `hierarchy` = '3,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:24:17', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:54:17pm "," update "," UPDATE category SET `child_category` = '11,12,13,27,23' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:59:27pm "," update "," UPDATE category SET `child_category` = '11,12,13,27' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:59:27pm "," update "," UPDATE category SET `category_name` = 'rr', `short_code` = 'rr', `parent_category_id` = '6', `hierarchy` = '1,6,23', `element_id` = '', `description` = '', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-06 18:29:27', `is_active` = 1 WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
"2022-08-06 21:59:27pm "," update "," UPDATE category SET `child_category` = '23' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/23"
