"2022-08-24 00:04:24am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Electronics', 'electronics', '', '2,7,8', 'Electronics', '', '1', '2022-08-24 00:04:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:04:24am "," update "," UPDATE category SET `hierarchy` = '1' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:04:24am "," update "," UPDATE category SET `child_category` = '1' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:07:31am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Grocery', 'grocery', '', '9', 'Grocery', '', '1', '2022-08-24 00:07:31') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:07:31am "," update "," UPDATE category SET `hierarchy` = '2' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:07:31am "," update "," UPDATE category SET `child_category` = '2' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:08:44am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('SINGLE', '1', '2022-08-24 00:08:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-24 00:08:51am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('DOUBLE', '1', '2022-08-24 00:08:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-24 00:08:58am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('KING', '1', '2022-08-24 00:08:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-24 00:09:09am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('QUEEN', '1', '2022-08-24 00:09:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-24 00:09:48am "," update "," UPDATE product_elements SET `element_name` = 'Size', `display_name` = 'Size', `attributes` = '1,2,3,4,5,77,78,79,80', `modified_by` = '1', `modified` = '2022-08-24 00:09:48', `is_active` = 1 WHERE 1=1  and element_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/edit-elements/1"
