"2022-08-24 01:45:51am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Skin Care', 'skin-care', '5', '', 'Skin Care', '', '1', '2022-08-24 01:45:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:45:52am "," update "," UPDATE category SET `hierarchy` = '5,35' WHERE 1=1  and category_id = '35' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:45:52am "," update "," UPDATE category SET `child_category` = '35' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:11am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Hair Care', 'hair-care', '5', '', 'Hair Care', '', '1', '2022-08-24 01:46:11') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:11am "," update "," UPDATE category SET `hierarchy` = '5,36' WHERE 1=1  and category_id = '36' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:11am "," update "," UPDATE category SET `child_category` = '35,36' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:33am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Make-Up', 'make-up', '5', '', 'Make-Up', '', '1', '2022-08-24 01:46:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:33am "," update "," UPDATE category SET `hierarchy` = '5,37' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:33am "," update "," UPDATE category SET `child_category` = '35,36,37' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:54am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Men's Grooming', 'men's-grooming', '5', '', 'Men's Grooming', '', '1', '2022-08-24 01:46:53') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:54am "," update "," UPDATE category SET `hierarchy` = '5,38' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:46:54am "," update "," UPDATE category SET `child_category` = '35,36,37,38' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:47:22am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Frangraneces', 'frangraneces', '5', '', 'Frangraneces', '', '1', '2022-08-24 01:47:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:47:22am "," update "," UPDATE category SET `hierarchy` = '5,39' WHERE 1=1  and category_id = '39' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:47:22am "," update "," UPDATE category SET `child_category` = '35,36,37,38,39' WHERE 1=1  and category_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:12am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Office Chair', 'office-chair', '6', '', 'Office Chair', '', '1', '2022-08-24 01:48:12') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:12am "," update "," UPDATE category SET `hierarchy` = '6,40' WHERE 1=1  and category_id = '40' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:12am "," update "," UPDATE category SET `child_category` = '40' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:27am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Beds', 'beds', '6', '', 'Beds', '', '1', '2022-08-24 01:48:27') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:27am "," update "," UPDATE category SET `hierarchy` = '6,41' WHERE 1=1  and category_id = '41' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:27am "," update "," UPDATE category SET `child_category` = '40,41' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:45am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Sofas', 'sofas', '6', '', 'Sofas', '', '1', '2022-08-24 01:48:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:45am "," update "," UPDATE category SET `hierarchy` = '6,42' WHERE 1=1  and category_id = '42' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:48:45am "," update "," UPDATE category SET `child_category` = '40,41,42' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:18am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Wardrobes', 'wardrobes', '6', '', 'Wardrobes', '', '1', '2022-08-24 01:49:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:18am "," update "," UPDATE category SET `hierarchy` = '6,43' WHERE 1=1  and category_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:18am "," update "," UPDATE category SET `child_category` = '40,41,42,43' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:48am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Laptop Tables', 'laptop-tables', '6', '', 'Laptop Tables', '', '1', '2022-08-24 01:49:48') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:48am "," update "," UPDATE category SET `hierarchy` = '6,44' WHERE 1=1  and category_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:48am "," update "," UPDATE category SET `child_category` = '40,41,42,43,44' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
