"2022-08-26 22:08:41pm "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Aashirvaad', 'aashirvaad', '', '1', '2022-08-26 22:08:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-26 22:08:54pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`) VALUES('Ashirvaad Atta with Multigrains', '-', 'ashirvaad-atta-with-multigrains', 'Ashirvaad Atta with Multigrains, 5kg pack, Atta with High Fibre for Healthy Gut and Healthy Life', '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is made with the choicest grains which provides you and your family wholesome nutrition</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is a blend of 6 natural grains &ndash; wheat, maize, soya, Chana, oats, psyllium husk</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">India&rsquo;s No. 1 Atta brand, Aashirvaad Atta with Multigrains is Made with love in India with the grains sourced from the fields across the country</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is high in fibre which aids in digestion and ensures a healthy gut</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">This multigrain flour is rich in proteins, vitamins, minerals and fibre which ensures a fit, active and healthy life</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">There is no compromise in taste as the rotis made from Aashirvaad Atta with Multigrains are smooth, soft and tasty</span></li></ul>', '48', '2', '21', '', '305', '', '305', '0', '5', 0, ''_amt, 'cover_image.jpg', '100', 1, 0, 0, 'Ashirvaad Atta', 'Ashirvaad Atta', 'Ashirvaad Atta', '1', '2022-08-26 22:08:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-26 22:08:54pm "," update "," UPDATE product_details SET `image` = '71NE0tYef0L._SX679_.jpg|71pHmiVucbL._SX679_.jpg|81bNTvvrafL._SX679_.jpg|81jdvrIv1jL._SX679_.jpg|81ZZDWDpXqL._SX679_.jpg|817PrgoJ7+L._SX679_.jpg' WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-26 22:08:54pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('8', 9, '74', '2022-08-26 22:08:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-26 22:10:27pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`) VALUES('Ashirvaad Atta with Multigrains', '-', 'ashirvaad-atta-with-multigrains', 'Ashirvaad Atta with Multigrains, 5kg pack, Atta with High Fibre for Healthy Gut and Healthy Life', '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is made with the choicest grains which provides you and your family wholesome nutrition</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is a blend of 6 natural grains &ndash; wheat, maize, soya, Chana, oats, psyllium husk</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">India&rsquo;s No. 1 Atta brand, Aashirvaad Atta with Multigrains is Made with love in India with the grains sourced from the fields across the country</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is high in fibre which aids in digestion and ensures a healthy gut</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">This multigrain flour is rich in proteins, vitamins, minerals and fibre which ensures a fit, active and healthy life</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">There is no compromise in taste as the rotis made from Aashirvaad Atta with Multigrains are smooth, soft and tasty</span></li></ul>', '48', '2', '21', '2', '305', '0', '305', '0', '5', 0, '0'_amt, 'cover_image.jpg', '100', 1, 0, 0, 'Ashirvaad Atta', 'Ashirvaad Atta', 'Ashirvaad Atta', '1', '2022-08-26 22:10:27') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-26 22:10:28pm "," update "," UPDATE product_details SET `image` = '71NE0tYef0L._SX679_.jpg|71pHmiVucbL._SX679_.jpg|81bNTvvrafL._SX679_.jpg|81jdvrIv1jL._SX679_.jpg|81ZZDWDpXqL._SX679_.jpg|817PrgoJ7+L._SX679_.jpg' WHERE 1=1  and product_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-26 22:10:28pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('9', 9, '74', '2022-08-26 22:10:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-26 22:10:41pm "," update "," UPDATE product_details SET `product_name` = 'Ashirvaad Atta with Multigrains', `product_code` = '-', `short_code` = 'ashirvaad-atta-with-multigrains', `short_description` = 'Ashirvaad Atta with Multigrains, 5kg pack, Atta with High Fibre for Healthy Gut and Healthy Life', `description` = '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is made with the choicest grains which provides you and your family wholesome nutrition</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is a blend of 6 natural grains – wheat, maize, soya, Chana, oats, psyllium husk</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">India’s No. 1 Atta brand, Aashirvaad Atta with Multigrains is Made with love in India with the grains sourced from the fields across the country</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Aashirvaad Atta with Multigrains is high in fibre which aids in digestion and ensures a healthy gut</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">This multigrain flour is rich in proteins, vitamins, minerals and fibre which ensures a fit, active and healthy life</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">There is no compromise in taste as the rotis made from Aashirvaad Atta with Multigrains are smooth, soft and tasty</span></li></ul>', `brand_id` = '51', `category_id` = '2', `child_category` = '21', `vendor_id` = '2', `mrp_price` = '305', `discount` = '0', `net_price` = '305', `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = '0'_amt, `cover_img` = 'cover_image.jpg', `stock` = '100', `meta_title` = 'Ashirvaad Atta', `meta_keyword` = 'Ashirvaad Atta', `meta_description` = 'Ashirvaad Atta', `modified_by` = '1', `modified` = '2022-08-26 22:10:41', `is_active` = 1 WHERE 1=1  and product_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/9"
"2022-08-26 22:10:41pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('9', 9, '74', '2022-08-26 22:10:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/9"
"2022-08-26 22:10:41pm "," update "," UPDATE product_details SET `image` = '71NE0tYef0L._SX679_.jpg|71pHmiVucbL._SX679_.jpg|81bNTvvrafL._SX679_.jpg|81jdvrIv1jL._SX679_.jpg|81ZZDWDpXqL._SX679_.jpg|817PrgoJ7+L._SX679_.jpg' WHERE 1=1  and product_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/9"
"2022-08-26 22:55:13pm "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Nihar Naturals', 'nihar-naturals', '', '1', '2022-08-26 22:55:13') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
