"2022-09-06 22:04:37pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '4' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:09:18pm "," update "," UPDATE customer_cart SET `quantity` = '1', `net_price` = '688.47', `total_amt` = 688.47 WHERE 1=1  and customer_id = '1' and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:09:20pm "," update "," UPDATE customer_cart SET `quantity` = '2', `net_price` = '688.47', `total_amt` = 1376.94 WHERE 1=1  and customer_id = '1' and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:09:21pm "," update "," UPDATE customer_cart SET `quantity` = '1', `net_price` = '688.47', `total_amt` = 688.47 WHERE 1=1  and customer_id = '1' and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:09:24pm "," update "," UPDATE customer_cart SET `quantity` = '2', `net_price` = '688.47', `total_amt` = 1376.94 WHERE 1=1  and customer_id = '1' and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:26:36pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:26:37pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:26:44pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '12' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:26:45pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '12' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:27:16pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '11' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:31:28pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '5', 'TP-Link TL-WR820N 300 Mbps Speed Wireless WiFi Router', '1', '805.38', 805.38, '1299', '38', '38'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/tp-link-tl-wr820n-300-mbps-speed-wireless-wifi-router"
"2022-09-06 22:31:44pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '15', 'AWG ALL WEATHER GEAR', '1', '699', 699, '699', '', ''_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/awg-all-weather-gear"
"2022-09-06 22:32:24pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '11', 'tresemme Keratin Smooth Shampoo', '1', '607.24', 607.24, '799', '24', '24'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/tresemme-keratin-smooth-shampoo"
"2022-09-06 22:32:34pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '7', 'Maggi Professional Pasta Sauce Mix', '1', '374', 374, '425', '12', '12'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/maggi-professional-pasta-sauce-mix"
"2022-09-06 22:33:42pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
