"2022-09-07 00:12:28am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '15' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:12:28am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '15' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:12:46am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '13' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:12:46am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '13' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:12:51am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:12:51am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:13:16am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '14', 'sports shoes for men', '1', '688.47', 688.47, '1299', '47', '47'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/sports-shoes-for-men"
"2022-09-07 00:13:18am "," update "," UPDATE customer_cart SET `quantity` = 2, `total_amt` = 1376.94 WHERE 1=1  and cart_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/sports-shoes-for-men"
"2022-09-07 00:13:46am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:13:46am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-07 00:14:50am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '15', 'AWG ALL WEATHER GEAR', '1', '699', 699, '699', '', ''_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/awg-all-weather-gear"
"2022-09-07 00:14:57am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '13', 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', '1', '7076.46', 7076.46, '7890', '24', '24'_amt, '18', '18'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-07 00:15:05am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '11', 'tresemme Keratin Smooth Shampoo', '1', '607.24', 607.24, '799', '24', '24'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/tresemme-keratin-smooth-shampoo"
"2022-09-07 00:15:09am "," update "," UPDATE customer_cart SET `quantity` = 2, `total_amt` = 1214.48 WHERE 1=1  and cart_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/tresemme-keratin-smooth-shampoo"
"2022-09-07 00:15:18am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '7', 'Maggi Professional Pasta Sauce Mix', '1', '374', 374, '425', '12', '12'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/maggi-professional-pasta-sauce-mix"
