"2022-09-10 22:10:39pm "," insert ","  "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:39pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES(NULL, '15', 'AWG ALL WEATHER GEAR', '1', '699', 699, '') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:39pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES(NULL, '13', 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', '1', '7076.46', 7076.46, '24') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:39pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES(NULL, '11', 'tresemme Keratin Smooth Shampoo', '1', '607.24', 607.24, '24') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:39pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES(NULL, '7', 'Maggi Professional Pasta Sauce Mix', '1', '374', 374, '12') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:39pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES(NULL, '6', 'Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage)', '1', '11999.2', 11999.2, '20') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:53pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_amount`, `order_date`, `is_active`) VALUES('ORD-1', '1', 5, 20755.9, '2022-09-10', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:53pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('1', '15', 'AWG ALL WEATHER GEAR', '1', '699', 699, '') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:53pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('1', '13', 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', '1', '7076.46', 7076.46, '24') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:53pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('1', '11', 'tresemme Keratin Smooth Shampoo', '1', '607.24', 607.24, '24') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 22:10:53pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('1', '7', 'Maggi Professional Pasta Sauce Mix', '1', '374', 374, '12') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
