"2022-09-10 23:02:02pm "," update "," UPDATE product_details SET `stock` = '50', `modified_by` = '1', `modified` = '2022-09-10 23:02:02' WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-stock "," R: http://localhost/MultiVendor/edit-stock/7"
"2022-09-10 23:02:02pm "," insert "," INSERT INTO stock_details(`product_id`, `status`, `old_stock`, `current_stock`, `created`) VALUES('7', 1, '50', '50', '2022-09-10 23:02:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-stock "," R: http://localhost/MultiVendor/edit-stock/7"
"2022-09-10 23:02:40pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '2' and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-10 23:02:41pm "," update "," UPDATE customer_cart SET `quantity` = '3' WHERE 1=1  and customer_id = '2' and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-10 23:04:47pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '2' and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-10 23:04:49pm "," update "," UPDATE customer_cart SET `quantity` = '3' WHERE 1=1  and customer_id = '2' and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-10 23:07:44pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_quantity`, `total_amount`, `order_date`, `is_active`) VALUES('ORD-4', '2', 1, 3, 1122, '2022-09-10', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:07:44pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('4', '7', 'Maggi Professional Pasta Sauce Mix', '3', '374', 1122, '12') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:07:44pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('7', NULL, -3, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:07:44pm "," update "," UPDATE product_details SET `stock` = -3 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:07:44pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '4', '2', 1122, '2022-09-10', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:07:44pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:10:42pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/maggi-professional-pasta-sauce-mix"
"2022-09-10 23:11:32pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_quantity`, `total_amount`, `order_date`, `is_active`) VALUES('ORD-5', '2', 1, 1, 374, '2022-09-10', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:11:32pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('5', '7', 'Maggi Professional Pasta Sauce Mix', '1', '374', 374, '12') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:11:32pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('7', '47', 46, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:11:32pm "," update "," UPDATE product_details SET `stock` = 46 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:11:32pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '5', '2', 374, '2022-09-10', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-10 23:11:32pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
