"2022-09-11 00:22:51am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '15', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/awg-all-weather-gear"
"2022-09-11 00:28:08am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '14', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/sports-shoes-for-men"
"2022-09-11 00:30:16am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '13', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:32:25am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '13' and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:32:38am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '13', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:33:12am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:33:15am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '13' and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:33:28am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '13', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:33:58am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '13' and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:34:04am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('2', '13', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-11 00:34:50am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '13' and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
