"2022-09-11 01:49:51am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_quantity`, `total_amount`, `order_date`, `is_active`) VALUES('ORD-6', '2', 4, 5, 9759.64, '2022-09-11', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('6', '15', 'AWG ALL WEATHER GEAR', '1', '699', 699, '') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('15', NULL, -1, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," update "," UPDATE product_details SET `stock` = -1 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('6', '13', 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', '1', '7076.46', 7076.46, '24') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('13', NULL, -1, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," update "," UPDATE product_details SET `stock` = -1 WHERE 1=1  and product_id = '13' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('6', '14', 'sports shoes for men', '2', '688.47', 1376.94, '47') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('14', NULL, -2, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," update "," UPDATE product_details SET `stock` = -2 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('6', '11', 'tresemme Keratin Smooth Shampoo', '1', '607.24', 607.24, '24') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('11', NULL, -1, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," update "," UPDATE product_details SET `stock` = -1 WHERE 1=1  and product_id = '11' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '6', '2', 9759.64, '2022-09-11', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-11 01:49:51am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
