"2022-09-13 04:00:16am "," update "," UPDATE product_details SET `product_name` = 'sports shoes for men', `product_code` = '#', `short_code` = 'sports-shoes-for-men', `short_description` = 'Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Grey)', `description` = '<table class=""fr-alternate-rows"" style=""width: 100%;""><tbody><tr><td style=""width: 33.1516%;""><strong>Color :</strong></td><td style=""width: 66.7393%;"">Grey</td></tr><tr><td style=""width: 33.1516%;""><strong>Inner Material :</strong></td><td style=""width: 66.7393%;"">Soft Breathable fabric</td></tr><tr><td style=""width: 33.1516%;""><strong>Outer material :</strong><br></td><td style=""width: 66.7393%;"">Mesh<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Model name :</strong><br></td><td style=""width: 66.7393%;"">Creta-12 sports shoes for men | Latest Stylish Casual sport shoes for men |<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Ideal for :</strong><br></td><td style=""width: 66.7393%;"">Men</td></tr><tr><td style=""width: 33.1516%;""><strong>Occasion :</strong><br></td><td style=""width: 66.7393%;"">Sports<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Sole material :</strong><br></td><td style=""width: 66.7393%;"">EVA<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Closure :</strong><br></td><td style=""width: 66.7393%;"">Lace-Ups<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Upper Pattern :</strong><br></td><td style=""width: 66.7393%;"">Solid<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Care instructions :</strong><br></td><td style=""width: 66.7393%;"">Wipe with a clean, dry cloth when needed. These footwear are very easy to clean and wash.<br></td></tr></tbody></table><p><span style=""font-size: 18px;"">These stylish shoes are the perfect inspiration for a fashionable look. The comfortable sole makes sure that your feet stay comfortable throughout the day and you enjoy optimal Grip. Designed to offer comfort at its best, without compromising on style.</span></p>', `brand_id` = '14', `category_id` = '7', `child_category` = '48', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = '1500', `discount` = '47', `net_price` = 795, `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = '47'_amt, `cover_img` = 'cover_image.jpg', `stock` = '50', `is_new_product` = 1, `is_popular_product` = 1, `is_feature_product` = 0, `meta_title` = 'Sports Shoes', `meta_keyword` = 'Sports Shoes', `meta_description` = 'Sports Shoes', `modified_by` = '1', `modified` = '2022-09-13 04:00:16', `is_active` = 1 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-13 04:00:16am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('14', 2, '10', '2022-09-13 04:00:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-13 04:00:16am "," update "," UPDATE product_details SET `image` = '109-1093417_transparent-sport-shoes-png-png-download.png|images (1).jpg|images.jpg' WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-13 04:03:04am "," update "," UPDATE product_details SET `product_name` = 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', `product_code` = 'ST26JMFDG', `short_code` = 'panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus', `short_description` = 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', `description` = '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Warranty: 1 year on product, 1 years on magnetron</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">20L capacity: Suitable for bachelors &amp; small families; power + innovation 800 watts of high power for fast, Even cooking and delicious results</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Microwave controls 51 pre auto cook menu items, glass turntable; warranty: 1 year on product</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Compact design: this countertop microwave with Glass turntable is compact, allowing you to devote less space to electronics and more to interior capacity;</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Control: touch key pad (membrane) is sensitive to touch and easy to clean</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Also included in the box: turntable, rotating ring, user manual</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Vapor clean: cleaning your microwave oven is easy</span></li></ul>', `brand_id` = '66', `category_id` = '8', `child_category` = '34', `vendor_id` = '1', `unit_price` = '15000', `mrp_price` = 17700, `discount` = '24', `net_price` = 13452, `tax` = '18', `qty` = '20', `gst_amt` = 2700, `discount_amt` = '24'_amt, `cover_img` = 'cover_image.jpg', `stock` = '-2', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Microwave ', `meta_keyword` = 'Microwave ', `meta_description` = 'Microwave ', `modified_by` = '1', `modified` = '2022-09-13 04:03:04', `is_active` = 1 WHERE 1=1  and product_id = '13' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/13"
"2022-09-13 04:03:04am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('13', 2, '10', '2022-09-13 04:03:04') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/13"
"2022-09-13 04:03:04am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('13', 7, '76', '2022-09-13 04:03:04') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/13"
"2022-09-13 04:03:04am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('13', 9, '76', '2022-09-13 04:03:04') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/13"
"2022-09-13 04:03:04am "," update "," UPDATE product_details SET `image` = '71Odjpsi1NL._SX679_.jpg|71OFbgyryTL._SX679_.jpg|71q2il9rXTL._SX679_.jpg|71QjOgnv7qL._SX679_.jpg|71WUtWFGDmL._SX679_.jpg' WHERE 1=1  and product_id = '13' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/13"
"2022-09-13 04:08:09am "," update "," UPDATE product_details SET `product_name` = 'Dell Inspiron 3525 Laptop', `product_code` = '3525', `short_code` = 'dell-inspiron-3525-laptop', `short_description` = 'AMD Athlon Silver 3050U, Win 11 + MSO'21, 8GB GDDR4, 256Gb SSD, Radeon Graphics, 15.6"" (39.62Cms) HD Anti-Glare (D560766Win9Be, 1.68Kgs)', `description` = '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">RAM &amp; Storage: 8GB DDR4 (2 DIMM Slots) &amp; 256GB SSD</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Display: 15.6"" HD AG Narrow Border</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Software: Win 11 + Office H&amp;S 2021</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*, 1 SD 3.0 card slot</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">WiFi &amp; BT: 802.11ac 1x1 WiFi and Bluetooth</span></li></ul>', `brand_id` = '1', `category_id` = '1', `child_category` = '9', `vendor_id` = '2', `unit_price` = '50000', `mrp_price` = 59000, `discount` = '32', `net_price` = 40120, `tax` = '18', `qty` = '', `gst_amt` = 9000, `discount_amt` = '32'_amt, `cover_img` = 'cover_image.jpg', `stock` = '50', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Dell Inspiron', `meta_keyword` = 'Dell Inspiron', `meta_description` = 'Dell Inspiron', `modified_by` = '1', `modified` = '2022-09-13 04:08:09', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-09-13 04:08:09am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 2, '10', '2022-09-13 04:08:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-09-13 04:08:09am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 8, '63', '2022-09-13 04:08:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
