"2022-09-16 02:20:58am "," update "," UPDATE user SET `last_login` = '2022-09-16 02:20:58' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-09-16 02:30:02am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', NULL, 1) "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:30:02am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/change-delivery-address "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:30:02am "," update "," UPDATE customer_address SET `set_default` = 1 WHERE 1=1  and address_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/change-delivery-address "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:30:07am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', NULL, 1) "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:31:56am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', NULL, 1) "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:32:23am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', NULL, 1) "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:34:12am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', NULL, 1) "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:34:12am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/change-delivery-address "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:34:12am "," update "," UPDATE customer_address SET `set_default` = 1 WHERE 1=1  and address_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/change-delivery-address "," R: http://localhost/MultiVendor/checkout"
"2022-09-16 02:35:48am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '14', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/sports-shoes-for-men"
