"2022-09-16 03:20:04am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:20:08am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:20:12am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:20:14am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:27:09am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:27:11am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:27:13am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:41:17am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:45:20am "," update "," UPDATE orders SET `delivery_status_id` = '1""' WHERE 1=1  and order_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:46:18am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:47:34am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:47:36am "," update "," UPDATE orders SET `delivery_status_id` = '4' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:47:42am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:48:32am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:48:56am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:48:59am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:49:01am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:49:49am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:52:52am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:52:54am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 03:52:57am "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
