"2022-09-23 23:46:38pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('ORD-3', '1', 1, 1500, 1, 795, 0, 705, '2022-09-23', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:46:38pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `discount_amt`, `gst`, `gst_amt`) VALUES('3', '14', 'sports shoes for men', '1', '795', '1500', 795, '47', NULL, '47'_amt, '0', '0'_amt) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:46:38pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('14', '-5', -6, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:46:38pm "," update "," UPDATE product_details SET `stock` = -6 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:46:38pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '3', '1', 795, '2022-09-23', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:46:38pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:47:33pm "," update "," UPDATE product_details SET `product_name` = 'sports shoes for men', `product_code` = '#', `short_code` = 'sports-shoes-for-men', `short_description` = 'Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Grey)', `description` = '<table class=""fr-alternate-rows"" style=""width: 100%;""><tbody><tr><td style=""width: 33.1516%;""><strong>Color :</strong></td><td style=""width: 66.7393%;"">Grey</td></tr><tr><td style=""width: 33.1516%;""><strong>Inner Material :</strong></td><td style=""width: 66.7393%;"">Soft Breathable fabric</td></tr><tr><td style=""width: 33.1516%;""><strong>Outer material :</strong><br></td><td style=""width: 66.7393%;"">Mesh<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Model name :</strong><br></td><td style=""width: 66.7393%;"">Creta-12 sports shoes for men | Latest Stylish Casual sport shoes for men |<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Ideal for :</strong><br></td><td style=""width: 66.7393%;"">Men</td></tr><tr><td style=""width: 33.1516%;""><strong>Occasion :</strong><br></td><td style=""width: 66.7393%;"">Sports<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Sole material :</strong><br></td><td style=""width: 66.7393%;"">EVA<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Closure :</strong><br></td><td style=""width: 66.7393%;"">Lace-Ups<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Upper Pattern :</strong><br></td><td style=""width: 66.7393%;"">Solid<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Care instructions :</strong><br></td><td style=""width: 66.7393%;"">Wipe with a clean, dry cloth when needed. These footwear are very easy to clean and wash.<br></td></tr></tbody></table><p><span style=""font-size: 18px;"">These stylish shoes are the perfect inspiration for a fashionable look. The comfortable sole makes sure that your feet stay comfortable throughout the day and you enjoy optimal Grip. Designed to offer comfort at its best, without compromising on style.</span></p>', `brand_id` = '14', `category_id` = '7', `child_category` = '48', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = '1500', `discount` = '47', `net_price` = 795, `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = '47'_amt, `cover_img` = 'cover_image.jpg', `stock` = '-6', `is_new_product` = 1, `is_popular_product` = 1, `is_feature_product` = 0, `meta_title` = 'Sports Shoes', `meta_keyword` = 'Sports Shoes', `meta_description` = 'Sports Shoes', `modified_by` = '1', `modified` = '2022-09-23 23:47:33', `warranty_title` = '', `warranty_detail` = '', `return_or_replace` = 'replace', `return_replace_validity` = '10', `policy_covers` = 'test', `return_policy` = '<p>test</p>', `is_active` = 1 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-23 23:47:33pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('14', 2, '10', '2022-09-23 23:47:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-23 23:47:33pm "," update "," UPDATE product_details SET `image` = '109-1093417_transparent-sport-shoes-png-png-download.png|images (1).jpg|images.jpg' WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-23 23:48:04pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '14', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/sports-shoes-for-men"
"2022-09-23 23:48:17pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('ORD-4', '1', 1, 1500, 1, 795, 0, 705, '2022-09-23', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:48:17pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `discount_amt`, `gst`, `gst_amt`) VALUES('4', '14', 'sports shoes for men', '1', '795', '1500', 795, '47', 'replace', '47'_amt, '0', '0'_amt) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:48:17pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('14', '-6', -7, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:48:17pm "," update "," UPDATE product_details SET `stock` = -7 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:48:17pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '4', '1', 795, '2022-09-23', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-23 23:48:17pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
