"2022-09-26 23:29:59pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Clothing', 'clothing', '', '1,2,3,4,5,6', 'Clothing', '', '1', 'return,replace', '10', 'All return reasons', '<p><span style='color: rgb(15, 17, 17); font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Full Refund, Exchange with a different size/color</span> </p>', '2022-09-26 23:29:59') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:29:59pm "," update "," UPDATE category SET `hierarchy` = '59' WHERE 1=1  and category_id = '59' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:29:59pm "," update "," UPDATE category SET `child_category` = '59' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:33:41pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Women', 'women', '59', '', 'Women's Cloting', '', '1', '', '', '', '', '2022-09-26 23:33:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:33:41pm "," update "," UPDATE category SET `hierarchy` = '59,60' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:33:41pm "," update "," UPDATE category SET `child_category` = '60' WHERE 1=1  and category_id = '59' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:34:09pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Men', 'men', '59', '', 'Men's Clothing', '', '1', '', '', '', '', '2022-09-26 23:34:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:34:09pm "," update "," UPDATE category SET `hierarchy` = '59,61' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:34:09pm "," update "," UPDATE category SET `child_category` = '60,61' WHERE 1=1  and category_id = '59' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:34:40pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Kids', 'kids', '59', '', 'Kids wear', '', '1', '', '', '', '', '2022-09-26 23:34:40') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:34:40pm "," update "," UPDATE category SET `hierarchy` = '59,62' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
