"2022-09-27 00:10:51am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Winter Wear', 'winter-wear', '61', '', 'Winter Wear for Men', '', '1', '', '', '', '', '2022-09-27 00:10:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:10:51am "," update "," UPDATE category SET `hierarchy` = '59,61,71' WHERE 1=1  and category_id = '71' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:10:51am "," update "," UPDATE category SET `child_category` = '67,68,69,70,71' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:28:16am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Tops & Tees', 'tops-&-tees', '62', '', 'Tops & Tees', '', '1', '', '', '', '', '2022-09-27 00:28:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:28:16am "," update "," UPDATE category SET `hierarchy` = '59,62,72' WHERE 1=1  and category_id = '72' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:28:16am "," update "," UPDATE category SET `child_category` = '72' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:28:53am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Bottom Wear', 'bottom-wear', '62', '', 'Bottom Wear for Kids', '', '1', '', '', '', '', '2022-09-27 00:28:53') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:28:53am "," update "," UPDATE category SET `hierarchy` = '59,62,73' WHERE 1=1  and category_id = '73' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:28:53am "," update "," UPDATE category SET `child_category` = '72,73' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:29:34am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Winter Wear', 'winter-wear', '62', '', 'Winter Wear', '', '1', '', '', '', '', '2022-09-27 00:29:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-27 00:29:34am "," update "," UPDATE category SET `hierarchy` = '59,62,74' WHERE 1=1  and category_id = '74' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
