"2022-09-30 03:09:30am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '4', '1', '{""1"":""1"",""2"":""7"",""4"":""35"",""5"":""51""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-yellow-womens-regular-fit-t-shirt?pid=4"
"2022-09-30 03:09:49am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '4', '1', '{""1"":""2"",""2"":""7"",""4"":""35"",""5"":""51""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-yellow-womens-regular-fit-t-shirt?pid=4"
"2022-09-30 03:10:02am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""1"",""2"":""7"",""4"":""35"",""5"":""51""}' WHERE 1=1  and cart_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-yellow-womens-regular-fit-t-shirt?pid=4"
"2022-09-30 03:10:20am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11664487620', '1', 2, 3693, 3, 1848, 263.76, 1846.5, '2022-09-30', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:10:20am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('1', '4', 'Allen Solly Yellow Womens Regular fit T-Shirt', '2', '616', '1231', 1232, '50', 'return,replace', '10', '50'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""YELLOW"",""T-shirt Type"":""POLO COLLAR"",""T-shirt Fits"":""REGULAR FIT.""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:10:20am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('1', '4', 'Allen Solly Yellow Womens Regular fit T-Shirt', '1', '616', '1231', 616, '50', 'return,replace', '10', '50'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""YELLOW"",""T-shirt Type"":""POLO COLLAR"",""T-shirt Fits"":""REGULAR FIT.""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:10:20am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '1', '1', 1848, '2022-09-30', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:10:20am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:12:36am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '7', '1', '{""1"":""1"",""2"":""9"",""5"":""50""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-30 03:12:39am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '7', '1', '{""1"":""2"",""2"":""9"",""5"":""50""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-30 03:13:02am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11664487782', '1', 2, 4142, 2, 1118, 443.76, 3023.66, '2022-09-30', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:13:02am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('2', '7', 'Dennis Lingo Men Shirt', '1', '559', '2071', 559, '73', 'return,replace', '10', '73'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""BLUE"",""T-shirt Fits"":""SLIM FIT.""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:13:02am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('2', '7', 'Dennis Lingo Men Shirt', '1', '559', '2071', 559, '73', 'return,replace', '10', '73'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""BLUE"",""T-shirt Fits"":""SLIM FIT.""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:13:37am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11664487817', '1', 2, 4142, 2, 1118, 443.76, 3023.66, '2022-09-30', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:14:24am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11664487864', '1', 2, 4142, 2, 1118, 443.76, 3023.66, '2022-09-30', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-30 03:14:24am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('4', '7', 'Dennis Lingo Men Shirt', '1', '559', '2071', 559, '73', 'return,replace', '10', '73'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""BLUE"",""T-shirt Fits"":""SLIM FIT.""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
