"2022-09-30 22:00:24pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '7') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:02:14pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '9') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:02:16pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '8') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:02:17pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '7') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:02:19pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '6') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:13:28pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:13:29pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:13:31pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '8' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:13:33pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '9' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:20:27pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '9') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:20:28pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '8') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:20:28pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '7') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:20:34pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '9' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:23:23pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '8' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:24:34pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '6') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:24:36pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '3') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:24:37pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '2') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:27:23pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '2' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:27:25pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '3' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:27:30pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:27:35pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
"2022-09-30 22:29:45pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '9') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/product"
"2022-09-30 22:29:50pm "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '9' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromWishList "," R: http://localhost/MultiVendor/whishlist"
