"2022-10-01 03:25:29am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Order Confirmed', 'order', '', '1', '2022-10-01 03:25:29') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:25:53am "," update "," UPDATE submenu_details SET `submenu_name` = 'Order Confirmed', `submenu_link` = 'order-confirmed', `submenu_position` = '0', `modified_by` = '1', `modified` = '2022-10-01 03:25:53', `is_active` = 1 WHERE 1=1  and submenu_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/edit-submenu/26"
"2022-10-01 03:26:44am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Processing', 'order-processing', '', '1', '2022-10-01 03:26:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:27:10am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Shipped Order', 'order-shipped', '', '1', '2022-10-01 03:27:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:27:50am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Delivered Order', 'order-delivered', '', '1', '2022-10-01 03:27:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:28:10am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Return Order', 'order-return', '', '1', '2022-10-01 03:28:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:28:34am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Refund order', 'order-refund', '', '1', '2022-10-01 03:28:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:28:58am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Cancelled Order', 'order-cancel', '', '1', '2022-10-01 03:28:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2022-10-01 03:29:27am "," update "," UPDATE menu_details SET `menu_name` = 'Order', `menu_link` = 'order', `menu_icon` = 'shopping-cart', `menu_position` = '7', `submenu_id` = '13,26,27,28,29,30,31,32', `menu_update_by` = '1', `menu_update_date` = '2022-10-01 03:29:27', `menu_status` = 1 WHERE 1=1  and menu_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/7"
"2022-10-01 03:29:48am "," update "," UPDATE role SET `role_name` = 'Admin', `role_description` = 'test', `updated_by` = '1', `update_at` = '2022-10-01 03:29:48', `is_active` = 1 WHERE 1=1  and role_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/1"
"2022-10-01 03:29:57am "," update "," UPDATE role SET `role_name` = 'Developer', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-10-01 03:29:57', `is_active` = 1 WHERE 1=1  and role_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/2"
"2022-10-01 03:30:07am "," update "," UPDATE role SET `role_name` = 'Vendor', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-10-01 03:30:07', `is_active` = 1 WHERE 1=1  and role_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/3"
