"2022-10-01 22:16:47pm "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""1"",""2"":""9"",""5"":""50""}' WHERE 1=1  and cart_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-10-01 22:25:36pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '6', '1', '{""1"":""1"",""2"":""10"",""5"":""50""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-10-01 22:30:47pm "," update "," UPDATE customer_cart SET `quantity` = '8' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:47pm "," update "," UPDATE customer_cart SET `quantity` = '7' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:48pm "," update "," UPDATE customer_cart SET `quantity` = '6' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:49pm "," update "," UPDATE customer_cart SET `quantity` = '5' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:49pm "," update "," UPDATE customer_cart SET `quantity` = '4' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:50pm "," update "," UPDATE customer_cart SET `quantity` = '3' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:50pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:50pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:51pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:30:51pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
