"2022-10-07 03:04:51am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under ₹399', 'under', 'price', '399', 'admin', '', '1', '2022-10-07 03:04:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:06:53am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Upto 50% Off', 'upto', 'discount', '50', 'admin', '', '1', '2022-10-07 03:06:53') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:07:04am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under ₹999', 'under', 'price', '999', 'admin', '', '1', '2022-10-07 03:07:04') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:09:03am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('From ₹500', 'from', 'price', '500', 'admin', '', '1', '2022-10-07 03:09:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:09:21am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under &#xF7EC499', 'under', 'price', '499', 'admin', '', '1', '2022-10-07 03:09:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:12:34am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under &#xF7EC200', 'under', 'price', '200', 'admin', '', '1', '2022-10-07 03:12:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:12:55am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('From ₹1,000', 'from', 'price', '1000', 'admin', '', '1', '2022-10-07 03:12:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:17:48am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under U+20B9699', 'under', 'price', '699', 'admin', '', '1', '2022-10-07 03:17:48') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:26:59am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('UnderN ₹444', 'under', 'price', '444', 'admin', '', '1', '2022-10-07 03:26:59') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:27:22am "," insert "," INSERT INTO offer(`title`, `keywords`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under ₹555', 'under', 'price', '555', 'admin', '', '1', '2022-10-07 03:27:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:41:34am "," insert "," INSERT INTO offer(`keywords`, `symbol`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('under', '₹', 'price', '99', 'admin', '', '1', '2022-10-07 03:41:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:42:10am "," insert "," INSERT INTO offer(`keywords`, `symbol`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('under', '₹', 'price', '199', 'admin', '', '1', '2022-10-07 03:42:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
"2022-10-07 03:42:26am "," insert "," INSERT INTO offer(`title`, `keywords`, `symbol`, `offer_on_element`, `offer_value`, `user_type`, `category_id`, `created_by`, `created_at`) VALUES('Under ₹299', 'under', '₹', 'price', '299', 'admin', '', '1', '2022-10-07 03:42:26') "," ::1 "," URL: http://localhost/MultiVendor/submit-offer "," R: http://localhost/MultiVendor/add-offer"
