"2022-10-13 22:00:27pm "," update "," UPDATE vendor SET `last_login` = '2022-10-13 22:00:27' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-13 22:01:29pm "," update "," UPDATE user SET `last_login` = '2022-10-13 22:01:29' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-13 22:01:47pm "," update "," UPDATE role SET `role_name` = 'Vendor', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-10-13 22:01:47', `is_active` = 1 WHERE 1=1  and role_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/3"
"2022-10-13 22:02:03pm "," update "," UPDATE vendor SET `last_login` = '2022-10-13 22:02:02' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-13 22:16:01pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('2', '3') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/greciilooks-womens-casual-digital-printed-shirt-ruffle-sleeve-tops?pid=3 "," R: http://localhost/MultiVendor/shop"
"2022-10-13 22:16:07pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('2', '3', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/greciilooks-womens-casual-digital-printed-shirt-ruffle-sleeve-tops?pid=3"
"2022-10-13 22:16:21pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-21665679581', '2', 1, 377, 1, 377, 17.95, 0, '2022-10-13', 1, 1, '<strong>dainik tandel</strong><br>10-abc,xyz,pqr ,<br>vapi , Gujarat ,<br>India - 396001<br>Phone no : 7894561238') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-13 22:16:22pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('7', '3', 'Greciilooks Womens Casual Digital Printed Shirt Ruffle Sleeve Tops', '1', '377', '377', 377, '', 'return,replace', '10', ''_amt, '5', '5'_amt, '2', '{""Size"":""S"",""Color"":""WHITE""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-13 22:16:22pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `ordered_qty`, `current_stock`, `status`) VALUES('3', 49, '1', 48, 2) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-13 22:16:22pm "," update "," UPDATE product_details SET `stock` = 48 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-13 22:16:22pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '7', '2', 377, '2022-10-13', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-13 22:16:22pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-13 22:16:50pm "," update "," UPDATE vendor SET `last_login` = '2022-10-13 22:16:50' WHERE 1=1  and vendor_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-13 22:23:19pm "," update "," UPDATE user SET `last_login` = '2022-10-13 22:23:19' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
