"2022-10-14 02:14:23am "," update "," UPDATE category SET `child_category` = '65,66' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/64"
"2022-10-14 02:14:23am "," update "," UPDATE category SET `category_name` = 'Western Wear', `short_code` = 'western-wear', `parent_category_id` = '60', `hierarchy` = '60,64', `element_id` = '', `description` = 'Western Wear for women', `category_image` = 'tops.jpg', `modified_by` = '1', `modified` = '2022-10-14 02:14:23', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '64' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/64"
"2022-10-14 02:14:23am "," update "," UPDATE category SET `child_category` = '65,66,64' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/64"
"2022-10-14 02:15:19am "," update "," UPDATE category SET `child_category` = '66,64' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/65"
"2022-10-14 02:15:19am "," update "," UPDATE category SET `category_name` = 'Ethnic Wear', `short_code` = 'ethnic-wear', `parent_category_id` = '60', `hierarchy` = '60,65', `element_id` = '', `description` = 'Ethnic Wear', `category_image` = 'sarees.jpg', `modified_by` = '1', `modified` = '2022-10-14 02:15:19', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '65' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/65"
"2022-10-14 02:15:19am "," update "," UPDATE category SET `child_category` = '66,64,65' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/65"
"2022-10-14 02:15:27am "," update "," UPDATE category SET `child_category` = '64,65' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/66"
"2022-10-14 02:15:27am "," update "," UPDATE category SET `category_name` = 'Sportswear', `short_code` = 'sportswear', `parent_category_id` = '60', `hierarchy` = '60,66', `element_id` = '', `description` = 'Sportswear for women', `category_image` = 'sports_bra.webp', `modified_by` = '1', `modified` = '2022-10-14 02:15:27', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '66' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/66"
"2022-10-14 02:15:27am "," update "," UPDATE category SET `child_category` = '64,65,66' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/66"
"2022-10-14 02:15:33am "," update "," UPDATE category SET `child_category` = '68,71,70,69' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/67"
"2022-10-14 02:15:33am "," update "," UPDATE category SET `category_name` = 'T-Shirts & Polos', `short_code` = 't-shirts--polos', `parent_category_id` = '61', `hierarchy` = '61,67', `element_id` = '', `description` = 'T-Shirts & Polos for Mens', `category_image` = '', `modified_by` = '1', `modified` = '2022-10-14 02:15:33', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '67' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/67"
"2022-10-14 02:15:33am "," update "," UPDATE category SET `child_category` = '68,71,70,69,67' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/67"
"2022-10-14 02:16:00am "," update "," UPDATE category SET `child_category` = '68,71,70,69' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/67"
