"2022-11-08 02:05:34am "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and parent_product_listing_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:05:34am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and parent_product_listing_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:07:28am "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:07:28am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:39:22am "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:39:22am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:39:28am "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:39:28am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:39:51am "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:39:51am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:40:32am "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:40:32am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 02:53:59am "," update "," UPDATE product_details SET `variant_code` = NULL, `parent_product_id` = NULL WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/removeVarientProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
