"2022-11-08 23:18:18pm "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:18:18pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:20:19pm "," update "," UPDATE product_details SET `variant_code` = NULL, `parent_product_id` = NULL WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/removeVarientProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:20:19pm "," update "," UPDATE product_elements_attributes SET `variant_code` = NULL, `parent_product_id` = NULL WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/removeVarientProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:21:31pm "," update "," UPDATE product_details SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:21:31pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'gXvJez', `parent_product_id` = '2' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:22:23pm "," update "," UPDATE product_details SET `variant_code` = NULL, `parent_product_id` = NULL WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/removeVarientProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:22:23pm "," update "," UPDATE product_elements_attributes SET `variant_code` = NULL, `parent_product_id` = NULL WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/removeVarientProduct "," R: http://localhost/MultiVendor/edit-parent-product/2"
"2022-11-08 23:23:10pm "," update "," UPDATE product_details SET `variant_code` = 'H9vNnY', `parent_product_id` = '1' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-08 23:23:10pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'H9vNnY', `parent_product_id` = '1' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-08 23:24:00pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'Allen Solly Womens Regular Fit T-Shirt', 'z7sL5O', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-08 23:29:18pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'Womens Casual Digital Printed Shirt', 'L3iCKD', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-08 23:29:55pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'test', 'Csej6x', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-08 23:46:23pm "," update "," UPDATE product_details SET `variant_code` = 'z7sL5O', `parent_product_id` = '3' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/3"
