"2022-11-11 01:01:25am "," update "," UPDATE product_details SET `product_name` = 'Dennis Lingo Men Shirt', `product_code` = 'B08CKTCGWT', `short_code` = 'dennis-lingo-men-shirt', `short_description` = 'Dennis Lingo Men Shirt', `description` = '<ul><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Care Instructions: Machine Wash</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type: Slim Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fabric - 100% Premium Cotton, Pre-Washed for extremely soft finish and Guaranteed 0% Shrinkage Post Washing</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Style - Enhance your look by wearing this Casual Stylish Men's shirt, Team it with a pair of tapered denims Or Solid Chinos and Loafers for a fun Smart Casual look</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type - Modern Slim Fit. Size chart - S-38, M-40, L-42, XL-44, XXL-46. Please Check the Size chart before Ordering for the Perfect Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">About the Brand DENNIS LINGO - Finding Basic Menswear for daily use can be hard among todays Over priced Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices and bring Basics back in trend.</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Closure Type: Button; Collar Style: Spread</span></li></ul>', `brand_id` = '21', `category_id` = '61', `child_category` = '68', `vendor_id` = '1', `unit_price` = '1849', `mrp_price` = 2071, `discount` = '73', `net_price` = 559, `tax` = '12', `qty` = '', `gst_amt` = 221.88, `discount_amt` = '73'_amt, `cover_img` = 'cover_image.jpg', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-11 01:01:25', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/7"
"2022-11-11 01:01:25am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('7', 1, '4', 'gXvJez', '2', '2022-11-11 01:01:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/7"
"2022-11-11 01:01:25am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('7', 2, '9', 'gXvJez', '2', '2022-11-11 01:01:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/7"
"2022-11-11 01:01:25am "," update "," UPDATE product_details SET `image` = '61JipNNbkZL._SX679._SX._UX._SY._UY_.jpg|512+G95WuhL._SY679._SX._UX._SY._UY_.jpg|613h3u6cvJL._SY679._SX._UX._SY._UY_ (1).jpg|613h3u6cvJL._SY679._SX._UX._SY._UY_.jpg|618EE6mXecL._SY679._SX._UX._SY._UY_.jpg' WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/7"
"2022-11-11 01:01:46am "," update "," UPDATE product_details SET `product_name` = 'Dennis Lingo Men Shirt', `product_code` = 'B0B7RKFPH1', `short_code` = 'dennis-lingo-men-shirt', `short_description` = 'Dennis Lingo Men Shirt', `description` = '<ul><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Care Instructions: Machine Wash</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type: Slim Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fabric - 100% Premium Cotton, Pre-Washed for extremely soft finish and Guaranteed 0% Shrinkage Post Washing</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Style - Enhance your look by wearing this Casual Stylish Men's shirt, Team it with a pair of tapered denims Or Solid Chinos and Loafers for a fun Smart Casual look</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type - Modern Slim Fit. Size chart - S-38, M-40, L-42, XL-44, XXL-46. Please Check the Size chart before Ordering for the Perfect Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">About the Brand DENNIS LINGO - Finding Basic Menswear for daily use can be hard among todays Over priced Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices and bring Basics back in trend.</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Closure Type: Button; Collar Style: Spread</span></li></ul>', `brand_id` = '21', `category_id` = '61', `child_category` = '68', `vendor_id` = '1', `unit_price` = '1849', `mrp_price` = 2071, `discount` = '67', `net_price` = 683, `tax` = '12', `qty` = '', `gst_amt` = 221.88, `discount_amt` = '67'_amt, `cover_img` = 'cover_image.jpg', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-11 01:01:46', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-11-11 01:01:46am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('6', 1, '4', 'gXvJez', '2', '2022-11-11 01:01:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-11-11 01:01:46am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('6', 2, '10', 'gXvJez', '2', '2022-11-11 01:01:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-11-11 01:01:46am "," update "," UPDATE product_details SET `image` = '51fINxhUNwL._SY679._SX._UX._SY._UY_.jpg|51smAeTCuFL._SX679._SX._UX._SY._UY_.jpg|51Usps+YB1L._SY679._SX._UX._SY._UY_.jpg|61hZHfF+N-L._SY679._SX._UX._SY._UY_.jpg' WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-11-11 01:02:37am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '11') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=11 "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-11-11 01:02:41am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '12') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=12 "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=11"
"2022-11-11 01:02:43am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '13') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=13 "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=12"
