"2022-11-11 02:08:24am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '8') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=8 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=10"
"2022-11-11 02:26:09am "," update "," UPDATE user SET `last_login` = '2022-11-11 02:26:09' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-11-11 02:26:44am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/61"
"2022-11-11 02:26:44am "," update "," UPDATE category SET `category_name` = 'Men', `short_code` = 'men', `parent_category_id` = '', `hierarchy` = '61', `element_id` = '1,2,6', `description` = 'Men's Clothing', `category_image` = '', `modified_by` = '1', `modified` = '2022-11-11 02:26:44', `return_or_replace` = 'return,replace', `return_replace_validity` = '7', `policy_covers` = 'Lorem ipsum dolor sit amet,', `return_policy` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet,</span> <span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet,</span></p>', `is_active` = 1 WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/61"
"2022-11-11 02:26:44am "," update "," UPDATE category SET `child_category` = '61' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/61"
"2022-11-11 02:30:06am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Men Black Regular Jeans', 'JEANS', 'men-black-regular-jeans', '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', '<ul><li><h4 style='box-sizing: inherit; color: rgb(40, 44, 63); font-size: medium; margin: 0px; font-weight: 500; text-transform: capitalize; border: none; padding-bottom: 5px; font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'>Size &amp; Fit :&nbsp;<span style='color: rgb(40, 44, 63); font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>The model (height 6&#39;) is wearing a size 32</span>&nbsp;</h4></li><li><h4 style='box-sizing: inherit; color: rgb(40, 44, 63); font-size: medium; margin: 0px; font-weight: 500; text-transform: capitalize; border: none; padding-bottom: 5px; font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'>Material &amp; Care : <span style='color: rgb(40, 44, 63); font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>99% Cotton, 1% Elastane&nbsp;</span><span style='color: rgb(40, 44, 63); font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Machine wash</span>&nbsp;</h4></li></ul>', '27', '61', '69', '2', '1000', 1120, '', 1120, '12', '', 120, ''_amt, 'cover_image.webp', '20', 1, 0, 0, 'Regular Jeans', 'Regular Jeans', 'Regular Jeans', '1', '2022-11-11 02:30:06', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-11 02:30:06am "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-11 02:30:06am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('18', 2, '10', '2022-11-11 02:30:06') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-11 02:30:06am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('18', 6, '55', '2022-11-11 02:30:06') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-11 02:41:07am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2022-11-11 02:41:07', `is_active` = '0' WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/updateStatus "," R: http://localhost/MultiVendor/all-product"
"2022-11-11 02:52:12am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2022-11-11 02:52:12', `is_active` = '1' WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/updateStatus "," R: http://localhost/MultiVendor/all-product"
