"2022-11-15 23:07:49pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-black-28-inch-vne98q7y-18', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<table style=""width: 100%;""><tbody><tr><td style=""width: 49.9454%;"">Size &amp; Fit&nbsp;</td><td style=""width: 49.9453%;"">The model (height 6&#39;) is wearing a size&nbsp;</td></tr><tr><td style=""width: 49.9454%;"">Material &amp; Care</td><td style=""width: 49.9453%;""><span style=""color: rgb(65, 65, 65); font-family: sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">99% Cotton, 1% Elastane Machine wash</span><br></td></tr></tbody></table>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:07:49', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:07:49pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('18', 2, '10', NULL, NULL, '2022-11-15 23:07:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:07:49pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('18', 6, '55', NULL, NULL, '2022-11-15 23:07:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:07:49pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:02pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-black-28-inch-vne98q7y-18', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<table style=""width: 100%;""><tbody><tr><td style=""width: 49.9454%;"">Size &amp; Fit&nbsp;</td><td style=""width: 49.9453%;"">The model (height 6&#39;) is wearing a size&nbsp;</td></tr><tr><td style=""width: 49.9454%;"">Material &amp; Care</td><td style=""width: 49.9453%;""><span style=""color: rgb(65, 65, 65); font-family: sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">99% Cotton, 1% Elastane Machine wash</span><br></td></tr></tbody></table>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:09:02', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('18', 2, '10', NULL, NULL, '2022-11-15 23:09:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('18', 6, '55', NULL, NULL, '2022-11-15 23:09:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:02pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:49pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-black-28-inch-vne98q7y-18', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<table style=""width: 100%;""><tbody><tr><td style=""width: 49.9454%;"">Size &amp; Fit&nbsp;</td><td style=""width: 49.9453%;"">The model (height 6&#39;) is wearing a size&nbsp;</td></tr><tr><td style=""width: 49.9454%;"">Material &amp; Care</td><td style=""width: 49.9453%;"">99% Cotton, 1% Elastane Machine wash</td></tr></tbody></table>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:09:49', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:49pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('18', 2, '10', NULL, NULL, '2022-11-15 23:09:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:49pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('18', 6, '55', NULL, NULL, '2022-11-15 23:09:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:09:49pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/18"
"2022-11-15 23:12:20pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-blue-28-inch-vne98q7y-20', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<div><h5>Size &amp; Fit</h5><p>Regular Fit</p><p>The model (height 5&#39;8&quot;) is wearing a size S</p></div>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:12:20', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:12:20pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 2, '9', NULL, NULL, '2022-11-15 23:12:20') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:12:20pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 6, '55', NULL, NULL, '2022-11-15 23:12:20') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:12:20pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:13:55pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-blue-28-inch-vne98q7y-20', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<div class=""row""><div class=""col-md-6""><h5>Size &amp; Fit</h5><p>Regular Fit</p><p>The model (height 5&#39;8&quot;) is wearing a size S</p></div><div class=""col-md-6""><h5>Size &amp; Fit</h5><p>Regular Fit</p><p>The model (height 5&#39;8&quot;) is wearing a size S</p></div></div>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:13:55', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:13:55pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 2, '9', NULL, NULL, '2022-11-15 23:13:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:13:55pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 6, '55', NULL, NULL, '2022-11-15 23:13:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:13:55pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:20:30pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-blue-28-inch-vne98q7y-20', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<div class=""row""><div class=""col-12 col-md-4""><h5>Size &amp; Fit</h5><p>Regular Fit</p><p>The model (height 5&#39;8&quot;) is wearing a size S</p></div><div class=""col-12 col-md-4""><h5>Material &amp; Care</h5><p>99% Cotton, 1% Elastane</p><p>Machine-wash</p></div><div class=""col-12 col-md-4""><h5>Waist Rise</h5><p>Mid-Rise</p></div><div class=""col-12 col-md-4""><h5>Stretch</h5><p>Stretchable</p></div></div>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:20:30', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:20:30pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 2, '9', NULL, NULL, '2022-11-15 23:20:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:20:30pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 6, '55', NULL, NULL, '2022-11-15 23:20:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:20:30pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:21:01pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-blue-28-inch-vne98q7y-20', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5>Size &amp; Fit</h5><p>Regular Fit</p><p>The model (height 5&#39;8&quot;) is wearing a size S</p></div><div class=""col-12 col-md-3""><h5>Material &amp; Care</h5><p>99% Cotton, 1% Elastane</p><p>Machine-wash</p></div><div class=""col-12 col-md-3""><h5>Waist Rise</h5><p>Mid-Rise</p></div><div class=""col-12 col-md-3""><h5>Stretch</h5><p>Stretchable</p></div></div>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:21:01', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:21:01pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 2, '9', NULL, NULL, '2022-11-15 23:21:01') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:21:01pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 6, '55', NULL, NULL, '2022-11-15 23:21:01') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:21:01pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:23:02pm "," update "," UPDATE product_details SET `product_name` = 'Men Black Regular Jeans', `product_code` = 'JEANS', `short_code` = 'men-black-regular-jeans-blue-28-inch-vne98q7y-20', `short_description` = '5-pocket jeans in stretch cotton denim with a regular waist, zip fly and button and straight legs with good room for movement over the thighs and knees.', `description` = '<div class=""row""><div class=""col-12 col-md-2""><h5>Size &amp; Fit</h5><p>Regular Fit</p></div><div class=""col-12 col-md-2""><h5>Material &amp; Care</h5><p>99% Cotton, 1% Elastane</p><p>Machine-wash</p></div><div class=""col-12 col-md-2""><h5>Waist Rise</h5><p>Mid-Rise</p></div><div class=""col-12 col-md-2""><h5>Stretch</h5><p>Stretchable</p></div><div class=""col-12 col-md-2""><h5>Length</h5><p>Regular</p></div><div class=""col-12 col-md-2""><h5>Shade</h5><p>Medium</p></div></div>', `brand_id` = '27', `category_id` = '61', `child_category` = '69', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '', `net_price` = 1120, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular Jeans', `meta_keyword` = 'Regular Jeans', `meta_description` = 'Regular Jeans', `modified_by` = '1', `modified` = '2022-11-15 23:23:02', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:23:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 2, '9', NULL, NULL, '2022-11-15 23:23:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:23:02pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('20', 6, '55', NULL, NULL, '2022-11-15 23:23:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
"2022-11-15 23:23:02pm "," update "," UPDATE product_details SET `image` = '28-hps-black-02-urbano-fashion-original-imafy9tkcfbp2ecc-bb.webp|28-hps-black-02-urbano-fashion-original-imafy9tksw5jy7cy.webp|28-hps-black-02-urbano-fashion-original-imafy9tkxgashfzp.webp' WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/20"
