"2022-11-26 02:00:19am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Track Pants & Shorts', 'sports-active-wear-track-pants-shorts', '7', '', 'Track Pants & Shorts', 'mens_shorts2.jpg', '1', '', '', '', '', '2022-11-26 02:00:19') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:00:19am "," update "," UPDATE category SET `hierarchy` = '1,7,20' WHERE 1=1  and category_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:00:20am "," update "," UPDATE category SET `child_category` = '20' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:00:42am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Active T-Shirts', 'sports-active-wear-active-t-shirts', '7', '', 'Active T-Shirts', 'mens_vest3.webp', '1', '', '', '', '', '2022-11-26 02:00:42') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:00:42am "," update "," UPDATE category SET `hierarchy` = '1,7,21' WHERE 1=1  and category_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:00:42am "," update "," UPDATE category SET `child_category` = '20,21' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:01:16am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Indian & Fusion Wear', 'women-indian-fusion-wear', '2', '', 'Indian & Fusion Wear', 'CP3QYwA7WkGZtmtlODPxYlK6GcXuHmTDsFIKimTh.jpeg', '1', '', '', '', '', '2022-11-26 02:01:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:01:16am "," update "," UPDATE category SET `hierarchy` = '2,22' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:01:17am "," update "," UPDATE category SET `child_category` = '22' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:01:38am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Western Wear', 'women-western-wear', '2', '', 'Western Wear', 'tops2.jpg', '1', '', '', '', '', '2022-11-26 02:01:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:01:38am "," update "," UPDATE category SET `hierarchy` = '2,23' WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
