"2022-11-26 03:00:07am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('12Y+', '1', '2022-11-26 03:00:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-26 03:01:01am "," insert "," INSERT INTO product_elements(`element_name`, `display_name`, `attributes`, `created_by`, `created`) VALUES('Age', 'AGE', '138,139,140,141,142,143,144,145,146,147,148,149,150', '1', '2022-11-26 03:01:01') "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/add-elements"
"2022-11-26 03:01:20am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = '0' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/3"
"2022-11-26 03:01:20am "," update "," UPDATE category SET `category_name` = 'Kids', `short_code` = '-kids', `parent_category_id` = '', `hierarchy` = '3', `element_id` = '1,2,10', `description` = 'kids', `category_image` = 'kids_hoddy.webp', `modified_by` = '1', `modified` = '2022-11-26 03:01:20', `return_or_replace` = 'return,replace', `return_replace_validity` = '10', `policy_covers` = 'Lorem ipsum dolor sit amet, consectetur adipiscing elit,', `return_policy` = '<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p>', `is_active` = 1 WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/3"
"2022-11-26 03:01:20am "," update "," UPDATE category SET `child_category` = '3' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/3"
"2022-11-26 03:06:37am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Boys', 'kids-boys', '3', '', 'Boys', 'kids_jeans.webp', '1', '', '', '', '', '2022-11-26 03:06:37') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:06:37am "," update "," UPDATE category SET `hierarchy` = '3,37' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:06:37am "," update "," UPDATE category SET `child_category` = '37' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:07:58am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Girls', 'kids-girls', '3', '', 'kids', 'kids_jacket1.webp', '1', '', '', '', '', '2022-11-26 03:07:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:07:58am "," update "," UPDATE category SET `hierarchy` = '3,38' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:07:58am "," update "," UPDATE category SET `child_category` = '37,38' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
