"2022-11-26 23:18:03pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Men White Grey Printed Slim Fit Training or Gym Pure Cotton T-shirt', 'Product-05', 'men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75', 'Men White Grey Printed Slim Fit Training or Gym Pure Cotton T-shirt', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '67', '1', '', '1', '1050', 1176, '50', 588, '12', '', 126, '50'_amt, 'cover_image.jpg', '30', 1, 0, 0, '', '', '', '1', '2022-11-26 23:18:03', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 23:18:03pm "," update "," UPDATE product_details SET `image` = '1.jpg|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 23:18:03pm "," update "," UPDATE product_details SET `short_code` = 'men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18' WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 23:18:03pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('18', 1, '1', '2022-11-26 23:18:03') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 23:18:03pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('18', 2, '133', '2022-11-26 23:18:03') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 23:18:15pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men White Grey Printed Slim Fit Training or Gym Pure Cotton T-shirt - (Duplicate)', 'Product-05', 'men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18', 'Men White Grey Printed Slim Fit Training or Gym Pure Cotton T-shirt', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '1', '67', '1', '0', '', NULL, NULL, '1050', '1176', '50', '50'_amt, '588', '12', NULL, '126', '1.jpg|2.jpg|3.webp|4.webp|5.webp', 'cover_image.jpg', '1', '0', '0', '', '', '', '', '', '1', '2022-11-26', 0, '30') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-26 23:18:15pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('19', '1', '1', '2022-11-26 23:18:15') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-26 23:18:15pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('19', '2', '133', '2022-11-26 23:18:15') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-26 23:18:28pm "," update "," UPDATE product_details SET `product_name` = 'Men White Grey Printed Slim Fit Training or Gym Pure Cotton T-shirt - (Duplicate)', `product_code` = 'Product-05', `short_code` = 'men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-duplicate-m-lightgrey-vnky8c75-19', `short_description` = 'Men White Grey Printed Slim Fit Training or Gym Pure Cotton T-shirt', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '67', `category_id` = '1', `child_category` = '', `vendor_id` = '1', `unit_price` = '1050', `mrp_price` = 1176, `discount` = '50', `net_price` = 588, `tax` = '12', `qty` = '', `gst_amt` = 126, `discount_amt` = '50'_amt, `cover_img` = 'cover_image.jpg', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-26 23:18:28', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '19' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/19"
"2022-11-26 23:18:28pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('19', 1, '2', NULL, NULL, '2022-11-26 23:18:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/19"
"2022-11-26 23:18:28pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('19', 2, '133', NULL, NULL, '2022-11-26 23:18:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/19"
