"2022-11-29 01:45:18am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('32', '1', '2022-11-29 01:45:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-29 01:45:25am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('34', '1', '2022-11-29 01:45:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-29 01:45:30am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('36', '1', '2022-11-29 01:45:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-29 01:45:36am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('38', '1', '2022-11-29 01:45:36') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-29 01:46:03am "," update "," UPDATE product_elements SET `element_name` = 'Wiast Size (jeans)', `display_name` = 'Size', `attributes` = '53,54,55,56,57,58,59,60,151,152,153,154', `modified_by` = '1', `modified` = '2022-11-29 01:46:03', `is_active` = 1 WHERE 1=1  and element_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-elements "," R: http://localhost/MultiVendor/edit-elements/6"
"2022-11-29 01:48:46am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', 'JEANS-1', 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-30-vnky8c75', 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '26', '1', '13', '1', '1000', 1120, '30', 784, '12', '', 120, '30'_amt, 'cover_image.webp', '30', 1, 0, 0, '', '', '', '1', '2022-11-29 01:48:46', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:48:46am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:48:46am "," update "," UPDATE product_details SET `short_code` = 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-30-vnky8c75-43' WHERE 1=1  and product_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:48:46am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('43', 2, '113', '2022-11-29 01:48:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:48:46am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('43', 6, '56', '2022-11-29 01:48:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:49:18am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans - (Duplicate)', 'JEANS-1', 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-30-vnky8c75-43', 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '1', '26', '1', '13', '', NULL, NULL, '1000', '1120', '30', '30'_amt, '784', '12', NULL, '120', '1.webp|2.webp|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '30') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
