"2022-11-29 04:35:50am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Men Maroon Regular Kurta Pyjamas with Jacket', 'KURTA-1', 'men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75', 'Men Maroon Regular Kurta Pyjamas with Jacket', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '70', '1', '18', '1', '1200', 1344, '20', 1075, '12', '', 144, '20'_amt, 'cover_image.webp', '5', 1, 0, 0, '', '', '', '1', '2022-11-29 04:35:50', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 04:35:50am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 04:35:50am "," update "," UPDATE product_details SET `short_code` = 'men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61' WHERE 1=1  and product_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 04:35:50am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('61', 1, '1', '2022-11-29 04:35:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 04:35:50am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('61', 2, '86', '2022-11-29 04:35:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 04:35:57am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Maroon Regular Kurta Pyjamas with Jacket - (Duplicate)', 'KURTA-1', 'men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61', 'Men Maroon Regular Kurta Pyjamas with Jacket', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '1', '70', '1', '18', '', NULL, NULL, '1200', '1344', '20', '20'_amt, '1075', '12', NULL, '144', '1.webp|2.jpg|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '5') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 04:35:57am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('62', '1', '1', '2022-11-29 04:35:57') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 04:35:57am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('62', '2', '86', '2022-11-29 04:35:57') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 04:36:09am "," update "," UPDATE product_details SET `product_name` = 'Men Maroon Regular Kurta Pyjamas with Jacket', `product_code` = 'KURTA-1', `short_code` = 'men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62', `short_description` = 'Men Maroon Regular Kurta Pyjamas with Jacket', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '70', `category_id` = '1', `child_category` = '18', `vendor_id` = '1', `unit_price` = '1200', `mrp_price` = 1344, `discount` = '20', `net_price` = 1075, `tax` = '12', `qty` = '', `gst_amt` = 144, `discount_amt` = '20'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 04:36:09', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/62"
"2022-11-29 04:36:09am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('62', 1, '2', NULL, NULL, '2022-11-29 04:36:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/62"
"2022-11-29 04:36:09am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('62', 2, '86', NULL, NULL, '2022-11-29 04:36:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/62"
