"2022-11-29 23:24:13pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:24:13pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '61') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:24:17pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '66' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-s-green-vnky8c75-66 "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61"
"2022-11-29 23:24:17pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '66') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-s-green-vnky8c75-66 "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61"
"2022-11-29 23:24:19pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61 "," R: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-s-green-vnky8c75-66"
"2022-11-29 23:24:51pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y-48 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:24:51pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '48') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y-48 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:25:06pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '56' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-beige-carrot-fit-stretchable-jeans-duplicate-beige-34-vne98q7y-56 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:25:06pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '56') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-beige-carrot-fit-stretchable-jeans-duplicate-beige-34-vne98q7y-56 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:26:03pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '53' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-34-vne98q7y-53 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:26:03pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '53') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-34-vne98q7y-53 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:26:34pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('2', 'Men White Tapered Fit Mid-Rise Clean Look Stretchable Jeans-Pepe Jeans', 'jvxmp1', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-29 23:26:39pm "," update "," UPDATE product_details SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '51' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:39pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '51' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:42pm "," update "," UPDATE product_details SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '52' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:42pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '52' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:44pm "," update "," UPDATE product_details SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '53' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:44pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '53' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:48pm "," update "," UPDATE product_details SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '54' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
"2022-11-29 23:26:48pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'jvxmp1', `parent_product_id` = '10' WHERE 1=1  and product_id = '54' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/10"
