"2022-11-30 01:45:37am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/coral-white-floral-print-mandarin-collar-pure-cotton-empire-top-s-sky-vnky8c75-92 "," R: http://localhost/MultiVendor/shop"
"2022-11-30 01:46:08am "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'Coral & White Floral Print Mandarin Collar Pure Cotton Top-MAX', 'hcYHvz', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-30 01:46:12am "," update "," UPDATE product_details SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:12am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:14am "," update "," UPDATE product_details SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '93' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:14am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '93' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:17am "," update "," UPDATE product_details SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '94' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:17am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '94' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:18am "," update "," UPDATE product_details SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '95' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:18am "," update "," UPDATE product_elements_attributes SET `variant_code` = 'hcYHvz', `parent_product_id` = '17' WHERE 1=1  and product_id = '95' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/17"
"2022-11-30 01:46:19am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/coral-white-floral-print-mandarin-collar-pure-cotton-empire-top-s-sky-vnky8c75-92 "," R: http://localhost/MultiVendor/shop"
"2022-11-30 01:46:27am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/coral-white-floral-print-mandarin-collar-pure-cotton-empire-top-s-sky-vnky8c75-92 "," R: http://localhost/MultiVendor/shop"
"2022-11-30 01:46:39am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/coral-white-floral-print-mandarin-collar-pure-cotton-empire-top-s-sky-vnky8c75-92 "," R: http://localhost/MultiVendor/shop"
"2022-11-30 01:47:10am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '92' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/coral-white-floral-print-mandarin-collar-pure-cotton-empire-top-s-sky-vnky8c75-92 "," R: http://localhost/MultiVendor/shop?category=women-indian-fusion-wear&cid=22"
"2022-11-30 01:50:31am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-30 01:52:14am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-11-30 01:52:19am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-11-30 01:52:51am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
