"2022-11-30 22:08:38pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:15:39pm "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:19:09pm "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:19:13pm "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:19:30pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:19:57pm "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:20:01pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '123' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-yellow-vnky8c75-123 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2022-11-30 22:20:05pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '124' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-yellow-vnky8c75-123"
"2022-11-30 22:20:09pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '120' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-red-vnky8c75-120 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124"
"2022-11-30 22:20:14pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-red-vnky8c75-120"
"2022-11-30 22:20:17pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '119' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-11-30 22:20:20pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-11-30 22:20:23pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '120' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-red-vnky8c75-120 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2022-11-30 22:20:28pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '128' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-pink-vnky8c75-128 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-red-vnky8c75-120"
"2022-11-30 22:20:31pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-pink-vnky8c75-128"
"2022-11-30 22:20:35pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '124' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127"
"2022-11-30 22:20:40pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124"
"2022-11-30 22:20:44pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2022-11-30 22:20:48pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
