"2022-12-02 21:08:00pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '52' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-32-vne98q7y-52 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-02 21:08:00pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '52') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-32-vne98q7y-52 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-02 21:15:47pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:16:11pm "," insert "," INSERT INTO product_review(`product_id`, `star_rate`, `review_title`, `review_content`, `customer_id`, `customer_name`, `customer_email`, `review_date`) VALUES('9', '5', 'Perfect Product', 'qqq', '1', 'Roshni Mistry', 'roshni123@gmail.com', '2022-12-02') "," ::1 "," URL: http://localhost/MultiVendor/submit-rating-reviews "," R: http://localhost/MultiVendor/order-detail?id=1"
"2022-12-02 21:25:04pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-navy-blue-white-placement-striped-pure-cotton-slim-fit-t-shirt-s-blue-slim-fit-vnky8c75-9 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:25:27pm "," insert "," INSERT INTO product_review(`product_id`, `star_rate`, `review_title`, `review_content`, `customer_id`, `customer_name`, `customer_email`, `review_date`) VALUES('1', '5', 'Superb Product', 'vv', '1', 'Roshni Mistry', 'roshni123@gmail.com', '2022-12-02') "," ::1 "," URL: http://localhost/MultiVendor/submit-rating-reviews "," R: http://localhost/MultiVendor/order-detail?id=1"
"2022-12-02 21:25:30pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:28:11pm "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:28:41pm "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:29:05pm "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:30:55pm "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:31:19pm "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-02 21:33:00pm "," update "," UPDATE product_details SET `view_count` = 26 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
