"2022-12-08 22:27:25pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-30-vnky8c75-43 "," R: http://localhost/MultiVendor/shop"
"2022-12-08 22:27:31pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-32-vnky8c75-44 "," R: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-30-vnky8c75-43"
"2022-12-08 22:27:33pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '45' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-34-vnky8c75-45 "," R: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-32-vnky8c75-44"
"2022-12-08 22:27:50pm "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '69' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-m-yellow-vnky8c75-69 "," R: http://localhost/MultiVendor/shop"
"2022-12-08 22:28:08pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '70' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-l-yellow-vnky8c75-70 "," R: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-m-yellow-vnky8c75-69"
"2022-12-08 22:28:12pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '71' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-xl-yellow-vnky8c75-71 "," R: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-l-yellow-vnky8c75-70"
"2022-12-08 22:28:14pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '75' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xxl-green-vnky8c75-75 "," R: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-xl-yellow-vnky8c75-71"
"2022-12-08 22:28:20pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '72' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-m-green-vnky8c75-72 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xxl-green-vnky8c75-75"
"2022-12-08 22:28:22pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '73' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-l-green-vnky8c75-73 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-m-green-vnky8c75-72"
"2022-12-08 22:28:25pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '74' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xl-green-vnky8c75-74 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-l-green-vnky8c75-73"
"2022-12-08 22:28:27pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '75' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xxl-green-vnky8c75-75 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xl-green-vnky8c75-74"
"2022-12-08 22:29:15pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '74' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xl-green-vnky8c75-74 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-l-green-vnky8c75-73"
"2022-12-08 22:29:23pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '73' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-l-green-vnky8c75-73 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-m-green-vnky8c75-72"
"2022-12-08 22:29:27pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '72' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-m-green-vnky8c75-72 "," R: http://localhost/MultiVendor/product-detail/men-green-printed-straight-kurta-xxl-green-vnky8c75-75"
"2022-12-08 22:29:32pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '110' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/magenta-ruffled-ready-to-wear-saree-s-cherry-red-vnky8c75-110 "," R: http://localhost/MultiVendor/shop"
"2022-12-08 22:29:38pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '52' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-32-vne98q7y-52 "," R: http://localhost/MultiVendor/shop"
"2022-12-08 22:29:49pm "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop?category=kids"
