"2022-12-09 02:01:35am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:02:04am "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:02:15am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:09:45am "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:11:33am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:11:33am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '115') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:12:12am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:13:05am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:13:19am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '107' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:13:48am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:13:53am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '99' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/off-white-blue-geometric-printed-mandarin-collar-empire-top-s-pearl-vnky8c75-99 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:14:02am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '28' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-black-slim-fit-casual-shirt-s-black-vne98q7y-28 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:14:02am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '28') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-black-slim-fit-casual-shirt-s-black-vne98q7y-28 "," R: http://localhost/EthnicWear/shop"
"2022-12-09 02:14:40am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '28' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-black-slim-fit-casual-shirt-s-black-vne98q7y-28 "," R: http://localhost/EthnicWear/shop"
