"2022-12-10 02:45:08am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:48:51am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:49:12am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:49:12am "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:49:12am "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:49:12am "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:50:25am "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:50:26am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 02:50:30am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-10 02:50:42am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6"
"2022-12-10 02:50:46am "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7"
"2022-12-10 02:50:49am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-10 02:50:54am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
