"2022-12-10 21:33:05pm "," update "," UPDATE product_details SET `view_count` = 39 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 21:33:07pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""undefined"":""11""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-10 21:33:07pm "," update "," UPDATE product_details SET `view_count` = 40 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-10 21:33:10pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '1') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-10 21:33:16pm "," update "," UPDATE product_details SET `view_count` = 41 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-10 21:33:19pm "," update "," UPDATE product_details SET `view_count` = 42 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-10 21:33:27pm "," update "," UPDATE product_details SET `view_count` = 43 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-10 21:33:32pm "," update "," UPDATE product_details SET `view_count` = 100 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 21:33:37pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '118') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:38:13pm "," update "," UPDATE product_details SET `view_count` = 101 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 21:38:16pm "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
