"2022-12-15 02:00:24am "," update "," UPDATE product_details SET `view_count` = 26 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 02:00:37am "," update "," UPDATE product_details SET `view_count` = 27 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 02:02:12am "," update "," UPDATE product_details SET `view_count` = 28 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 02:06:22am "," update "," UPDATE product_details SET `view_count` = 29 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 02:08:46am "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 02:09:44am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:10:40am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:10:56am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:11:36am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:12:13am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:12:44am "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
