"2022-12-21 22:13:14pm "," update "," UPDATE product_details SET `view_count` = 44 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:14:13pm "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop"
"2022-12-21 22:15:21pm "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-21 22:16:32pm "," update "," UPDATE user SET `last_login` = '2022-12-21 22:16:32' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-12-21 22:21:34pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Black Sequins Embellished Net Cape Top', 'AAA', 'black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y', 'Black Sequins Embellished Net Cape Top', '<ul style='box-sizing: inherit; list-style: none; padding: 0px; margin: 0px 0px 10px; color: rgb(40, 44, 63); font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: inherit;"">Black regular cape top</li></ul>', '13', '3', '48', '2', '1000', 1120, '50', 560, '12', '', 120, '50'_amt, 'cover_image.webp', '10', 0, 0, 0, '', '', '', '1', '2022-12-21 22:21:34', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-12-21 22:21:34pm "," update "," UPDATE product_details SET `image` = '82217d59-ee7c-4e0e-a2fa-9ff857f64cc21666121801711NetSequinsEmbroideredCapeTop4.jpg|872447a5-181b-42ce-8d2e-0edaf58d5e551666121801730NetSequinsEmbroideredCapeTop1.webp|bc2d1893-2dd6-492b-b8e7-a0de38f5eb9a1666121801702NetSequinsEmbroideredCapeTop3.jpg' WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-12-21 22:21:34pm "," update "," UPDATE product_details SET `short_code` = 'black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132' WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-12-21 22:21:34pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('132', 1, '1', '2022-12-21 22:21:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-12-21 22:21:34pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('132', 2, '10', '2022-12-21 22:21:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-12-21 22:21:34pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('132', 10, '142', '2022-12-21 22:21:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-12-21 22:21:46pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop?category=kids"
"2022-12-21 22:22:21pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:25:01pm "," update "," UPDATE product_details SET `view_count` = 26 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop?category=kids"
"2022-12-21 22:28:44pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:30:22pm "," update "," UPDATE product_details SET `view_count` = 27 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop?category=kids"
"2022-12-21 22:30:39pm "," update "," UPDATE product_details SET `view_count` = 28 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:31:00pm "," update "," UPDATE product_details SET `view_count` = 29 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:32:01pm "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:32:29pm "," update "," UPDATE product_details SET `view_count` = 31 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop?category=kids"
"2022-12-21 22:35:20pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop?category=kids"
"2022-12-21 22:37:44pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:38:12pm "," update "," UPDATE product_details SET `view_count` = 45 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-21 22:38:21pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-21 22:38:54pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:39:56pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:47:39pm "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-21 22:47:46pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-21 22:47:50pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-12-21 22:48:42pm "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-12-21 22:49:09pm "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-21 22:49:41pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop?category=kids"
"2022-12-21 22:50:12pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:50:47pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-21 22:51:38pm "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-21 22:55:11pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '55' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-beige-carrot-fit-stretchable-jeans-beige-32-vne98q7y-55 "," R: http://localhost/MultiVendor/shop?category=men"
