"2022-12-24 00:47:30am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_quantity`, `total_amount`, `order_date`) VALUES('ORD-6', '1', 12, 0, '2022-12-24') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-12-24 00:47:30am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('6', '5', '1', '392', NULL, '') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-12-24 00:47:30am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('6', '10', '11', '1075', NULL, '40') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-12-24 00:48:02am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 00:48:20am "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/"
"2022-12-24 00:48:23am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '14', '1', '{""1"":""1"",""2"":""115""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-24 00:48:23am "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-24 00:48:29am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 00:48:30am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '103', '1', '{""1"":""1"",""2"":""7""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103"
"2022-12-24 00:48:31am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/MultiVendor/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103"
"2022-12-24 00:50:09am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_quantity`, `total_amount`, `order_date`) VALUES('ORD-7', '1', 13, 0, '2022-12-24') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-12-24 00:50:09am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('7', '5', '1', '392', NULL, '') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-12-24 00:50:09am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('7', '10', '11', '1075', NULL, '40') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-12-24 00:50:09am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`, `total_amt`, `discount`) VALUES('7', '14', '1', '470', NULL, '60') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
