"2022-12-24 02:05:44am "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:05:47am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-24 02:05:47am "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-24 02:06:01am "," update "," UPDATE product_details SET `view_count` = 49 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:06:09am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:06:11am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2022-12-24 02:06:11am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2022-12-24 02:06:15am "," update "," UPDATE product_details SET `view_count` = 34 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:06:17am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '5', '1', '{""1"":""4"",""2"":""109""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-24 02:06:17am "," update "," UPDATE product_details SET `view_count` = 35 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-24 02:06:22am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '107' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:06:23am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '107', '1', '{""1"":""1"",""2"":""95""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107"
"2022-12-24 02:06:23am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '107' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107 "," R: http://localhost/MultiVendor/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107"
"2022-12-24 02:06:26am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '28' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-s-black-vne98q7y-28 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:06:26am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '28') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-s-black-vne98q7y-28 "," R: http://localhost/MultiVendor/shop"
"2022-12-24 02:06:28am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '28', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-s-black-vne98q7y-28"
