"2022-12-27 02:01:17am "," update "," UPDATE product_details SET `view_count` = 46 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:02:26am "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:03:12am "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:08:01am "," update "," UPDATE product_details SET `view_count` = 49 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:08:41am "," update "," UPDATE product_details SET `view_count` = 50 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:09:15am "," update "," UPDATE product_details SET `view_count` = 51 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:10:16am "," update "," UPDATE product_details SET `view_count` = 52 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:16:07am "," update "," UPDATE product_details SET `view_count` = 53 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-27 02:16:13am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-27 02:16:23am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-27 02:16:42am "," update "," UPDATE product_details SET `view_count` = 54 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-12-27 02:16:49am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-27 02:16:49am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '7') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-27 02:50:51am "," update "," UPDATE product_details SET `view_count` = 28 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/home"
