"2022-12-28 23:00:11pm "," update "," UPDATE vendor SET `last_login` = '2022-12-28 23:00:11' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2022-12-28 23:00:24pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', 'fwzkGl', 1) "," ::1 "," URL: http://localhost/EthnicWear/submit-parent-product "," R: http://localhost/EthnicWear/add-parent-product"
"2022-12-28 23:00:34pm "," update "," UPDATE product_details SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:34pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:37pm "," update "," UPDATE product_details SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '136' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:37pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '136' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:39pm "," update "," UPDATE product_details SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '137' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:39pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '137' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:41pm "," update "," UPDATE product_details SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '138' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:41pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'fwzkGl', `parent_product_id` = '25' WHERE 1=1  and product_id = '138' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/addVariantToProduct "," R: http://localhost/EthnicWear/edit-parent-product/25"
"2022-12-28 23:00:48pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-green-mustard-ethnic-motifs-printed-a-line-kurta-s-mustard-vnky8c75-135 "," R: http://localhost/EthnicWear/shop"
"2022-12-28 23:03:58pm "," update "," UPDATE vendor SET `last_login` = '2022-12-28 23:03:58' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2022-12-28 23:14:18pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '76' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-beige-floral-yoke-design-straight-kurta-with-trousers-with-dupatta-s-beige-vnky8c75-76 "," R: http://localhost/EthnicWear/shop"
"2022-12-28 23:24:18pm "," update "," UPDATE product_details SET `view_count` = 130 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
