"2022-12-29 02:01:35am "," update "," UPDATE product_details SET `product_name` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `product_code` = 'Kurta', `short_code` = 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139', `short_description` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `description` = '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', `brand_id` = '76', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '500', `mrp_price` = 560, `discount` = '', `net_price` = 560, `tax` = '12', `qty` = '', `gst_amt` = 60, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-12-29 02:01:35', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2022-12-29 02:01:35am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('139', 1, '2', NULL, NULL, '2022-12-29 02:01:35') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2022-12-29 02:01:35am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('139', 2, '85', NULL, NULL, '2022-12-29 02:01:35') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2022-12-29 02:01:35am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp' WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2022-12-29 02:01:41am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta - (Duplicate)', 'Kurta', 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139', 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', '1', '76', '2', '24', '', NULL, NULL, '500', '560', '', ''_amt, '560', '12', NULL, '60', '1.webp|2.webp|3.webp|4.webp', 'cover_image.webp', '0', '0', '0', '', '', '', '', '', '1', '2022-12-29', 0, '10') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-29 02:01:41am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('140', '1', '2', '2022-12-29 02:01:41') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-29 02:01:41am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('140', '2', '85', '2022-12-29 02:01:41') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-29 02:01:59am "," update "," UPDATE product_details SET `product_name` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `product_code` = 'Kurta', `short_code` = 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-l-blush-red-vnky8c75-140', `short_description` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `description` = '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', `brand_id` = '76', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '500', `mrp_price` = 560, `discount` = '', `net_price` = 560, `tax` = '12', `qty` = '', `gst_amt` = 60, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-12-29 02:01:59', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '140' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
"2022-12-29 02:01:59am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('140', 1, '3', NULL, NULL, '2022-12-29 02:01:59') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
"2022-12-29 02:01:59am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('140', 2, '85', NULL, NULL, '2022-12-29 02:01:59') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
"2022-12-29 02:01:59am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp' WHERE 1=1  and product_id = '140' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
"2022-12-29 02:02:20am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta - (Duplicate)', 'Kurta', 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-l-blush-red-vnky8c75-140', 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', '1', '76', '2', '24', '', NULL, NULL, '500', '560', '', ''_amt, '560', '12', NULL, '60', '1.webp|2.webp|3.webp|4.webp', 'cover_image.webp', '0', '0', '0', '', '', '', '', '', '1', '2022-12-29', 0, '10') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-29 02:02:20am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('141', '1', '3', '2022-12-29 02:02:20') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-29 02:02:20am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('141', '2', '85', '2022-12-29 02:02:20') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-29 02:02:36am "," update "," UPDATE product_details SET `product_name` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `product_code` = 'Kurta', `short_code` = 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-xl-blush-red-vnky8c75-141', `short_description` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `description` = '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', `brand_id` = '76', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '500', `mrp_price` = 560, `discount` = '', `net_price` = 560, `tax` = '12', `qty` = '', `gst_amt` = 60, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-12-29 02:02:36', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '141' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/141"
"2022-12-29 02:02:36am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('141', 1, '4', NULL, NULL, '2022-12-29 02:02:36') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/141"
"2022-12-29 02:02:36am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('141', 2, '85', NULL, NULL, '2022-12-29 02:02:36') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/141"
"2022-12-29 02:02:36am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp' WHERE 1=1  and product_id = '141' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/141"
"2022-12-29 02:02:59am "," update "," UPDATE vendor SET `last_login` = '2022-12-29 02:02:59' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2022-12-29 02:03:15am "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', 'APYDrg', 1) "," ::1 "," URL: http://localhost/EthnicWear/submit-parent-product "," R: http://localhost/EthnicWear/add-parent-product"
