"2022-12-29 04:01:09am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '69' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-yellow-printed-straight-kurta-m-yellow-vnky8c75-69 "," R: http://localhost/MultiVendor/shop"
"2022-12-29 04:11:19am "," update "," UPDATE product_details SET `view_count` = 37 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-29 04:12:11am "," update "," UPDATE product_details SET `view_count` = 38 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-29 04:12:51am "," update "," UPDATE product_details SET `view_count` = 39 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-29 04:13:43am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y-48 "," R: http://localhost/MultiVendor/shop"
"2022-12-29 04:14:03am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-29 04:14:28am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-29 04:16:44am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/productDetails "," R: "
"2022-12-29 04:29:46am "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2022-12-29 04:30:40am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y-48 "," R: http://localhost/MultiVendor/shop"
"2022-12-29 04:33:05am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y-48 "," R: http://localhost/MultiVendor/shop"
