"2022-12-29 23:09:16pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:11:16pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:11:57pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:12:27pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:12:33pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:13:28pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:15:01pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:19:52pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:22:13pm "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:23:44pm "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:24:45pm "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:26:06pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:26:31pm "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:29:50pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:30:29pm "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:31:05pm "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:32:09pm "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:32:41pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:33:01pm "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:39:35pm "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-29 23:39:36pm "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
