"2022-12-30 00:25:56am "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:25:56am "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '84' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-brown-floral-embroidered-regular-kurta-with-trousers-with-dupatta-s-brown-vnky8c75-84 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:26:17am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:27:07am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:27:55am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:27:56am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:28:46am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:29:50am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:30:37am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:32:49am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 00:36:31am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
