"2022-12-30 02:02:42am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/lavender-art-silk-saree-pastel-pink-vne98q7y-133 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:02:42am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/lavender-art-silk-saree-pastel-pink-vne98q7y-133 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:02:43am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/lavender-art-silk-saree-pastel-pink-vne98q7y-133 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:03:48am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/lavender-art-silk-saree-pastel-pink-vne98q7y-133 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:04:54am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/lavender-art-silk-saree-pastel-pink-vne98q7y-133 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:05:36am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/lavender-art-silk-saree-pastel-pink-vne98q7y-133 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:06:30am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:06:40am "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:07:06am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '110' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/magenta-ruffled-ready-to-wear-saree-s-cherry-red-vnky8c75-110 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:07:17am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-green-mustard-ethnic-motifs-printed-a-line-kurta-s-mustard-vnky8c75-135 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:08:46am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-green-mustard-ethnic-motifs-printed-a-line-kurta-s-mustard-vnky8c75-135 "," R: http://localhost/EthnicWear/shop"
