"2022-12-30 22:07:19pm "," update "," UPDATE user SET `last_login` = '2022-12-30 22:07:19' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2022-12-30 22:34:27pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Skirts Palazzos', 'indian-fusion-wear-skirts-palazzos', '22', '', 'Skirts Palazzos', 'display.webp', '999', '', '', '', '', '2022-12-30 22:34:27') "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2022-12-30 22:34:27pm "," update "," UPDATE category SET `hierarchy` = '2,22,58' WHERE 1=1  and category_id = '58' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2022-12-30 22:34:27pm "," update "," UPDATE category SET `child_category` = '24,25,26,27,28,58' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2022-12-30 22:36:27pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Women Rust Solid Wrap On Skirt Palazzo', 'Palazzo', 'women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75', 'Women Rust Solid Wrap On Skirt Palazzo', '<p><span style='color: rgb(40, 44, 63); font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Women Rust Solid Wrap On Skirt Palazzo, styled with ruffles, inverted box pleats, elasticated waist band, front tie-ups</span> </p>', '82', '2', '58', '1', '799', 895, '40', 537, '12', '', 95.88, '40'_amt, 'cover_image.webp', '10', 0, 0, 0, '', '', '', '999', '2022-12-30 22:36:27', '', '') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-30 22:36:27pm "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.jpg' WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-30 22:36:27pm "," update "," UPDATE product_details SET `short_code` = 'women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142' WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-30 22:36:27pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('142', 2, '89', '2022-12-30 22:36:27') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-30 22:36:27pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('142', 6, '55', '2022-12-30 22:36:27') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-30 22:36:41pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Women Rust Solid Wrap On Skirt Palazzo - (Duplicate)', 'Palazzo', 'women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142', 'Women Rust Solid Wrap On Skirt Palazzo', '<p><span style='color: rgb(40, 44, 63); font-family: Whitney, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Women Rust Solid Wrap On Skirt Palazzo, styled with ruffles, inverted box pleats, elasticated waist band, front tie-ups</span> </p>', '1', '82', '2', '58', '', NULL, NULL, '799', '895', '40', '40'_amt, '537', '12', NULL, '95.88', '1.webp|2.webp|3.webp|4.webp|5.jpg', 'cover_image.webp', '0', '0', '0', '', '', '', '', '', '999', '2022-12-30', 0, '10') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-30 22:36:41pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('143', '2', '89', '2022-12-30 22:36:41') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
"2022-12-30 22:36:41pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('143', '6', '55', '2022-12-30 22:36:41') "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/duplicateRecords "," R: http://localhost/EthnicWear/all-product"
